Name,t_discovery,peak mag,t_peak Uncer (indays),t_(peak+2),t_(peak+2) Uncer (indays),t peak date,reddening,distance(pc),Absolute peak mag,Error (±),Note
2026-03a,3/7/2026 21:46,10.5,±-0.89920 days,12.5,±0.96408 days,3/7/2026 21:46,0.127,50000,,0.111,
2024-08a,2020-07-16.1659851,11.217,,13.217,,2024-08-02.1258581,,,,,
2020-11a,2020-Nov-18 04:05:27,9.921,,11.921,,2020-Nov-18 04:05:46,,,,,
2020-05a,2020-03-12.7672390,13.668,,15.668,,2020-05-06.7041513,,,,,
2019-11a,2019-Nov-13 08:23:09,12.794,±-39.99986 days,14.794,±39.99987 days,2019-Nov-13 08:24:14,0.127,50000,,,
2019-07a,2019-Jul-27 19:50:07,10.952,±0.24468 days,12.952,±0.88062 days,2019-Jul-30 16:28:24,0.127,50000,,,
2018-07a,2014-08-24 10:08:3 UTC,10.71,,12.71,,2018-Jun-18 08:27:37,,,,,No observations before peak
2018-05a,5/15/2018 10:44,13.01,,15.01,,5/15/2018 10:44,,,,,NO observations before peak
2017-11a,2009-May-24,11.96,-1.15030 / +0.92600,13.64,-4.14870 / +1.39547,2017-05-04 15:28 UTC,0.127,50000,,,
2016,,,,,,,0.127,,,,
2015-03a,2015-Apr-01 01:57:17,11.269,±0.49869 days,13.269,±20.59825 days,2015-Apr-20 00:36:39,0.127,50000,,0.111,
2013-10a,2012 Nov 16 08:39:42 UTC,11.242,±1.36431 days,13.242,±1.96105 days,"2013 October 23, 08:28:38.064 UTC",0.127,"50,000",,,
2012-10a,"2010 Sep 10, 02:32 UTC",12.178,±-2.88643 days,14.178,±2.91583 days,"2012 October 30, 06:03:24 UTC",0.127,"50,000",,0.111,
2012-03a,"2010 April 22, 14:32 UTC",11.695,±0.55892 days,13.695,±0.59877 days,"2012 March 24, 00:40:53 UTC",0.127,50000,,0.111,
2011-08a,"2010 April 23, 15:52 UTC",13.13,,15.13,,"2011 August 31, 21:34 UTC",,,,0.111,"Last Observation before ""peak"" was over 80 days ago "
2010-11a,"2010 April 22, 14:57 UTC",12.699,±-1.04007 days,14.699,±1.06005 days,"2010 Dec 10, 17:17 UTC",0.127,50000,,0.111,
2009-05a,"2010 April 22, 15:29 UTC.",17.544,,19.544,,"2010 April 22, 15:29 UTC.",,,,0.111,
2005-11a,1996-Nov-21 18:17:12 UTC.,11.386,±0.51416 days,13.386,±0.64213 days,2005-May-23 17:26:47 UTC,0.127,50000,,0.111,
2005-09a, 2001-Apr-13 06:31:16 UTC,11.426,±0.44135 days,13.462,±0.64160 days,2005-Apr-21 09:13:22 UTC,0.127,50000,,0.111,
2004-10a,2001-Apr-13 07:03:20 UTC,11.647,±-2.98749 day,13.647,±2.98853 days,2004-May-16 08:32:29 UTC,0.127,50000,,0.111,
2003-06a, 2001-Apr-02 09:30:14 UTC,14.557, ,16.557,, 2001-Apr-02 09:30:14 UTC,,,,0.111,"Last Observation before ""peak"" was over 120 days ago "
2002-02a,"2002 April 20, 09:34 UTC",13.637,,15.637,,"2002 April 20, 09:34 UTC",,,,0.111,The last time it was observed noted about 120 or so
2001-08a, 2001-Apr-01 09:16:58 UTC,13.303,±-4.99118 days,15.303,±5.00192 days,2001-May-17 07:44:28 UTC,0.127,50000,,0.111,
1999-09a,1998-Aug-21 03:05:05 UTC,12.591,,14.591,,1999-Apr-14 09:26:08 UTC,,,,,
