HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457113.58145,2015-04-01.0813087,be,1.52,15.573,12.380,0.012,42.837,0.467,V
2457113.58287,2015-04-01.0827339,be,1.56,15.526,12.345,0.012,44.265,0.485,V
2457114.57132,2015-04-02.0711640,be,1.58,15.528,12.278,0.011,47.064,0.491,V
2457114.57275,2015-04-02.0725915,be,1.59,15.524,12.261,0.011,47.797,0.495,V
2457115.56774,2015-04-03.0675649,be,1.52,15.573,12.637,0.015,33.825,0.461,V
2457115.56916,2015-04-03.0689866,be,1.49,15.508,12.641,0.016,33.707,0.489,V
2457116.57236,2015-04-04.0721767,be,1.52,15.488,12.903,0.020,26.482,0.495,V
2457116.57381,2015-04-04.0736275,be,1.52,15.530,12.890,0.019,26.800,0.476,V
2457117.56938,2015-04-05.0691788,be,1.58,15.441,12.288,0.012,46.619,0.528,V
2457117.57082,2015-04-05.0706180,be,1.51,15.406,12.314,0.013,45.541,0.543,V
2457118.56437,2015-04-06.0641582,be,1.56,15.409,11.927,0.009,65.014,0.554,V
2457118.56582,2015-04-06.0656071,be,1.58,15.338,11.921,0.010,65.366,0.596,V
2457121.55935,2015-04-09.0590921,be,1.43,15.427,11.732,0.007,77.769,0.547,V
2457121.56078,2015-04-09.0605238,be,1.47,15.442,11.757,0.007,76.030,0.537,V
2457124.52183,2015-04-12.0215319,be,1.74,15.646,12.312,0.010,45.596,0.437,V
2457126.52716,2015-04-14.0268335,be,1.52,15.799,12.633,0.012,33.919,0.376,V
2457126.52858,2015-04-14.0282581,be,1.49,15.840,12.643,0.011,33.636,0.362,V
2457129.53152,2015-04-17.0311568,be,1.39,15.843,12.786,0.013,29.470,0.361,V
2457129.53295,2015-04-17.0325835,be,1.39,15.875,12.804,0.013,28.994,0.353,V
2457130.52653,2015-04-18.0261508,be,1.47,15.828,12.798,0.013,29.144,0.363,V
2457130.52795,2015-04-18.0275723,be,1.43,15.879,12.815,0.013,28.710,0.349,V
2457131.51130,2015-04-19.0109120,be,1.48,15.479,11.845,0.008,70.119,0.518,V
2457131.51273,2015-04-19.0123376,be,1.45,15.481,11.850,0.008,69.767,0.523,V
2457132.52402,2015-04-20.0236127,be,1.43,15.159,11.279,0.007,118.124,0.781,V
2457132.52545,2015-04-20.0250381,be,1.41,15.195,11.269,0.007,119.166,0.726,V
2457133.52426,2015-04-21.0238402,be,1.59,15.452,11.757,0.008,76.054,0.541,V
2457133.52570,2015-04-21.0252776,be,1.48,15.447,11.781,0.007,74.421,0.533,V
2457135.50214,2015-04-23.0016932,be,1.43,15.645,12.277,0.010,47.131,0.435,V
2457135.50360,2015-04-23.0031590,be,1.43,15.635,12.270,0.010,47.442,0.438,V
2457136.52269,2015-04-24.0222335,be,1.49,15.678,12.337,0.010,44.579,0.424,V
2457136.52411,2015-04-24.0236515,be,1.46,15.628,12.312,0.010,45.605,0.441,V
2457137.51455,2015-04-25.0140824,be,1.57,15.619,12.431,0.012,40.889,0.450,V
2457138.51804,2015-04-26.0175649,be,2.02,15.675,12.481,0.011,39.062,0.423,V
2457138.51975,2015-04-26.0192728,be,2.01,15.481,12.465,0.014,39.597,0.507,V
2457139.51221,2015-04-27.0117120,be,1.53,15.758,12.591,0.012,35.256,0.392,V
