HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457419.72429,2016-02-01.2249605,be,1.43,16.071,>16.071,99.990,0.017,0.286,V
2457419.72559,2016-02-01.2262574,be,1.45,15.997,>15.997,99.990,0.654,0.306,V
2457419.72688,2016-02-01.2275488,bf,1.49,99.990,99.990,99.990,99.990,99.990,V
2457419.72688,2016-02-01.2275498,be,1.43,15.899,>15.899,99.990,1.149,0.335,V
2457420.64150,2016-02-02.1421687,be,1.48,16.168,>16.168,99.990,0.546,0.262,V
2457420.64281,2016-02-02.1434739,be,1.49,16.079,>16.079,99.990,0.886,0.284,V
2457420.64409,2016-02-02.1447597,be,1.51,16.179,>16.179,99.990,0.934,0.259,V
2457422.72266,2016-02-04.2233275,be,1.49,16.272,>16.272,99.990,0.319,0.238,V
2457422.72394,2016-02-04.2246002,be,1.48,16.173,>16.173,99.990,0.507,0.261,V
2457422.72523,2016-02-04.2258907,be,1.43,15.988,>15.988,99.990,0.214,0.309,V
2457423.66089,2016-02-05.1615518,be,1.58,15.738,>15.738,99.990,0.281,0.389,V
2457423.66182,2016-02-05.1624844,be,1.47,15.731,>15.731,99.990,1.265,0.391,V
2457423.66276,2016-02-05.1634247,be,1.48,15.839,>15.839,99.990,0.494,0.354,V
2457424.64754,2016-02-06.1481989,be,1.45,16.149,>16.149,99.990,0.974,0.266,V
2457424.64882,2016-02-06.1494848,be,1.41,16.097,>16.097,99.990,0.973,0.279,V
2457424.65012,2016-02-06.1507731,be,1.40,16.162,>16.162,99.990,0.368,0.263,V
2457425.64382,2016-02-07.1444754,be,1.44,16.158,>16.158,99.990,0.745,0.264,V
2457425.64511,2016-02-07.1457666,be,1.49,15.967,>15.967,99.990,1.245,0.315,V
2457425.64640,2016-02-07.1470528,be,1.49,16.138,>16.138,99.990,0.445,0.269,V
2457426.59070,2016-02-08.0913508,be,1.42,16.098,>16.098,99.990,0.393,0.279,V
2457426.59197,2016-02-08.0926282,be,1.51,16.250,>16.250,99.990,0.278,0.243,V
2457426.59326,2016-02-08.0939146,be,1.45,16.155,>16.155,99.990,1.289,0.265,V
2457428.70344,2016-02-10.2040913,be,1.45,16.198,>16.198,99.990,0.340,0.254,V
2457428.70344,2016-02-10.2040902,bf,1.41,99.990,99.990,99.990,99.990,99.990,V
2457428.70472,2016-02-10.2053678,be,1.48,16.136,>16.136,99.990,0.817,0.269,V
2457428.70601,2016-02-10.2066571,bf,1.42,99.990,99.990,99.990,99.990,99.990,V
2457428.70601,2016-02-10.2066564,be,1.48,16.125,>16.125,99.990,0.956,0.272,V
2457429.67676,2016-02-11.1774032,bf,1.45,99.990,99.990,99.990,99.990,99.990,V
