JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458077.188935,13.4062,0.0116,,CV,SPET,,139,143,X22688AFX,,0,1.358,Z,14.1033,14.5098,,ASASSN-17PF,AAVSO,STD,,,,
2458077.190231,13.4149,0.0111,,CV,SPET,,139,143,X22688AFX,,0,1.359,Z,13.9664,14.3367,,ASASSN-17PF,AAVSO,STD,,,,
2458077.191481,13.4415,0.0126,,CV,SPET,,139,143,X22688AFX,,0,1.360,Z,14.0552,14.4544,,ASASSN-17PF,AAVSO,STD,,,,
2458077.192766,13.4119,0.0073,,CV,SPET,,139,143,X22688AFX,,0,1.361,Z,13.4246,13.8009,,ASASSN-17PF,AAVSO,STD,,,,
2458077.194051,13.4271,0.0077,,CV,SPET,,139,143,X22688AFX,,0,1.362,Z,13.4945,13.8819,,ASASSN-17PF,AAVSO,STD,,,,
2458077.195324,13.4154,0.0075,,CV,SPET,,139,143,X22688AFX,,0,1.363,Z,13.4679,13.8412,,ASASSN-17PF,AAVSO,STD,,,,
2458077.19662,13.4264,0.0067,,CV,SPET,,139,143,X22688AFX,,0,1.364,Z,13.3499,13.7340,,ASASSN-17PF,AAVSO,STD,,,,
2458077.197894,13.4203,0.0062,,CV,SPET,,139,143,X22688AFX,,0,1.365,Z,13.2887,13.6626,,ASASSN-17PF,AAVSO,STD,,,,
2458077.199167,13.4126,0.0066,,CV,SPET,,139,143,X22688AFX,,0,1.366,Z,13.3045,13.6877,,ASASSN-17PF,AAVSO,STD,,,,
2458077.200451,13.4072,0.0064,,CV,SPET,,139,143,X22688AFX,,0,1.367,Z,13.3545,13.7193,,ASASSN-17PF,AAVSO,STD,,,,
2458077.201736,13.4138,0.0068,,CV,SPET,,139,143,X22688AFX,,0,1.368,Z,13.3835,13.7466,,ASASSN-17PF,AAVSO,STD,,,,
2458077.203021,13.4154,0.0071,,CV,SPET,,139,143,X22688AFX,,0,1.370,Z,13.4267,13.7933,,ASASSN-17PF,AAVSO,STD,,,,
2458077.204306,13.4138,0.0067,,CV,SPET,,139,143,X22688AFX,,0,1.371,Z,13.3873,13.7575,,ASASSN-17PF,AAVSO,STD,,,,
