HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458088.67674,2017-12-01.1772996,bl,1.51,16.559,>16.559,99.990,0.831,0.173,g
2458088.67797,2017-12-01.1785287,bl,1.46,16.619,16.247,0.156,1.151,0.164,g
2458088.67919,2017-12-01.1797461,bl,1.49,16.702,>16.702,99.990,0.353,0.151,g
2458088.74013,2017-12-01.2406923,bh,1.38,16.278,>16.278,99.990,0.894,0.236,V
2458088.74021,2017-12-01.2407644,bl,1.6,16.596,16.154,0.146,1.254,0.167,g
2458088.74140,2017-12-01.2419630,bh,1.43,16.042,>16.042,99.990,0.669,0.294,V
2458088.74143,2017-12-01.2419815,bl,1.61,16.597,16.531,0.206,0.886,0.167,g
2458088.74264,2017-12-01.2431990,bl,1.62,16.354,16.093,0.172,1.327,0.209,g
2458088.74267,2017-12-01.2432270,bh,1.40,16.216,>16.216,99.990,1.094,0.250,V
2458089.48377,2017-12-01.9843357,bp,1.73,16.569,16.488,0.204,0.922,0.171,g
2458089.48498,2017-12-01.9855394,bp,1.85,16.626,16.104,0.136,1.314,0.162,g
2458089.48618,2017-12-01.9867454,bp,1.74,16.467,16.359,0.199,1.038,0.188,g
2458089.70411,2017-12-02.2046783,bl,1.48,16.405,16.331,0.205,1.065,0.199,g
2458089.70533,2017-12-02.2058946,bl,1.48,16.283,>16.283,99.990,1.002,0.223,g
2458089.70655,2017-12-02.2071131,bl,1.48,16.455,>16.455,99.990,0.267,0.190,g
2458089.73740,2017-12-02.2379706,bh,2.12,99.990,99.990,99.990,99.990,99.990,V
2458089.73867,2017-12-02.2392372,bh,1.37,15.774,>15.774,99.990,0.638,0.376,V
2458089.73869,2017-12-02.2392543,bl,1.52,16.153,16.025,0.195,1.413,0.251,g
2458089.73991,2017-12-02.2404731,bl,1.58,16.109,>16.109,99.990,0.302,0.261,g
2458089.73994,2017-12-02.2405013,bh,1.45,15.390,>15.390,99.990,0.831,0.536,V
2458090.48099,2017-12-02.9815665,bp,1.63,16.325,>16.325,99.990,0.518,0.214,g
2458090.48220,2017-12-02.9827783,bp,1.57,16.444,>16.444,99.990,0.567,0.192,g
2458090.48341,2017-12-02.9839795,bp,1.55,16.640,>16.640,99.990,0.378,0.160,g
2458090.73459,2017-12-03.2351711,bh,1.52,15.820,>15.820,99.990,0.325,0.361,V
2458090.73466,2017-12-03.2352353,bl,1.64,16.232,16.203,0.214,1.199,0.234,g
2458090.73586,2017-12-03.2364388,bh,1.47,15.919,>15.919,99.990,1.220,0.329,V
2458090.73589,2017-12-03.2364564,bl,1.7,16.259,16.115,0.192,1.301,0.228,g
2458090.73710,2017-12-03.2376756,bl,1.63,16.129,>16.129,99.990,0.901,0.257,g
2458090.73714,2017-12-03.2377145,bh,1.51,15.878,>15.878,99.990,0.283,0.342,V
2458091.47826,2017-12-03.9788428,bp,1.65,16.299,>16.299,99.990,0.802,0.220,g
2458091.47947,2017-12-03.9800487,bp,1.64,16.181,>16.181,99.990,0.441,0.245,g
2458091.48069,2017-12-03.9812640,bp,1.67,16.336,>16.336,99.990,0.590,0.212,g
2458091.73187,2017-12-04.2324517,bh,1.45,15.849,>15.849,99.990,0.785,0.351,V
2458091.73199,2017-12-04.2325706,bl,1.51,16.195,>16.195,99.990,0.633,0.242,g
2458091.73313,2017-12-04.2337180,bh,1.38,15.766,>15.766,99.990,0.976,0.379,V
2458091.73321,2017-12-04.2337907,bl,1.56,16.183,>16.183,99.990,0.879,0.244,g
2458091.73440,2017-12-04.2349819,bh,1.43,15.795,>15.795,99.990,-0.109,0.369,V
2458091.73442,2017-12-04.2350030,bl,1.49,16.233,>16.233,99.990,0.894,0.233,g
2458091.75651,2017-12-04.2570906,bl,1.52,16.180,>16.180,99.990,1.013,0.245,g
