HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458179.30515,2018-03-01.8056305,bm,1.65,15.797,13.355,0.023,16.530,0.352,g
2458179.30645,2018-03-01.8069313,bm,2.00,15.711,13.322,0.024,17.034,0.384,g
2458179.30770,2018-03-01.8081717,bm,1.97,15.660,13.327,0.026,16.944,0.402,g
2458180.28104,2018-03-02.7815190,bm,1.60,16.020,13.513,0.022,14.276,0.287,g
2458180.28250,2018-03-02.7829806,bm,1.57,15.949,13.516,0.023,14.242,0.306,g
2458180.28383,2018-03-02.7843038,bm,1.64,15.938,13.503,0.023,14.418,0.308,g
2458180.63719,2018-03-03.1376777,bi,1.60,15.587,13.612,0.036,13.042,0.425,g
2458180.63842,2018-03-03.1389043,bi,1.57,15.604,13.551,0.033,13.793,0.418,g
2458180.63964,2018-03-03.1401234,bi,1.44,15.595,13.575,0.034,13.486,0.423,g
2458181.32032,2018-03-03.8207930,bm,1.53,15.937,13.441,0.022,15.264,0.309,g
2458181.32153,2018-03-03.8220108,bm,1.57,16.036,13.473,0.021,14.822,0.282,g
2458181.32276,2018-03-03.8232393,bm,1.53,16.038,13.499,0.021,14.470,0.282,g
2458181.63578,2018-03-04.1362554,bi,1.51,16.004,13.748,0.027,11.497,0.290,g
2458181.63699,2018-03-04.1374746,bi,1.56,15.781,13.715,0.033,11.851,0.357,g
2458181.63821,2018-03-04.1386931,bi,1.50,15.979,13.720,0.027,11.798,0.297,g
2458182.38146,2018-03-04.8819333,bm,1.54,16.106,13.992,0.031,9.182,0.264,g
2458182.38267,2018-03-04.8831497,bm,1.53,16.067,13.986,0.032,9.236,0.274,g
2458182.38390,2018-03-04.8843755,bm,1.54,15.971,14.007,0.036,9.058,0.298,g
2458182.62760,2018-03-05.1280778,bi,1.48,15.917,13.985,0.037,9.255,0.314,g
2458182.62884,2018-03-05.1293221,bi,1.55,16.044,14.055,0.035,8.672,0.279,g
2458182.63006,2018-03-05.1305370,bi,1.47,16.048,13.968,0.032,9.394,0.279,g
2458183.37712,2018-03-05.8775940,bm,1.47,15.988,14.068,0.037,8.569,0.294,g
2458183.37835,2018-03-05.8788212,bm,1.54,15.953,14.082,0.039,8.452,0.304,g
2458183.37958,2018-03-05.8800520,bm,1.54,15.539,14.124,0.060,8.135,0.443,g
2458183.62710,2018-03-06.1275707,bi,1.43,16.076,13.977,0.032,9.309,0.271,g
2458183.62832,2018-03-06.1287906,bi,1.45,15.995,13.950,0.033,9.553,0.292,g
2458183.62954,2018-03-06.1300165,bi,1.44,15.995,13.962,0.034,9.443,0.292,g
2458184.37629,2018-03-06.8767643,bm,1.51,16.196,14.212,0.035,7.505,0.242,g
2458184.37751,2018-03-06.8779798,bm,1.52,16.257,14.151,0.031,7.942,0.229,g
2458184.37874,2018-03-06.8792069,bm,1.48,16.259,14.137,0.031,8.043,0.229,g
2458184.62219,2018-03-07.1226607,bi,1.45,16.209,14.128,0.032,8.107,0.240,g
2458184.62341,2018-03-07.1238817,bi,1.45,16.266,14.115,0.030,8.206,0.228,g
2458184.62463,2018-03-07.1251002,bi,1.47,16.247,14.114,0.031,8.207,0.231,g
2458185.59197,2018-03-08.0924420,bi,1.49,16.319,14.458,0.039,5.981,0.216,g
2458185.59320,2018-03-08.0936746,bi,1.53,16.251,14.403,0.040,6.291,0.230,g
2458185.59443,2018-03-08.0949002,bi,1.38,16.235,14.407,0.041,6.271,0.233,g
2458186.36750,2018-03-08.8679635,bm,2.33,16.270,14.382,0.038,6.412,0.226,g
2458186.36871,2018-03-08.8691730,bm,2.34,16.360,14.437,0.037,6.098,0.209,g
2458186.36992,2018-03-08.8703837,bm,2.34,16.436,14.385,0.033,6.399,0.195,g
2458186.59111,2018-03-09.0915732,be,1.41,15.877,14.395,0.056,6.698,0.343,V
2458186.59238,2018-03-09.0928501,be,1.51,15.920,14.336,0.051,7.066,0.330,V
2458186.59365,2018-03-09.0941152,be,1.42,15.770,14.362,0.060,6.905,0.378,V
2458187.60280,2018-03-10.1032618,bi,1.44,16.254,14.909,0.064,3.946,0.229,g
2458187.60401,2018-03-10.1044732,bi,1.50,16.292,14.953,0.064,3.790,0.221,g
2458187.60523,2018-03-10.1056940,bi,1.42,16.335,14.866,0.057,4.106,0.213,g
2458188.61181,2018-03-11.1122701,bi,1.49,16.287,14.973,0.065,3.722,0.222,g
2458188.61303,2018-03-11.1134898,bi,1.45,16.384,14.875,0.055,4.074,0.203,g
2458188.61425,2018-03-11.1147083,bi,1.47,16.380,14.944,0.058,3.824,0.204,g
2458189.61401,2018-03-12.1144703,bi,1.42,16.276,14.882,0.061,4.047,0.225,g
2458189.61523,2018-03-12.1156886,bi,1.47,16.348,14.732,0.049,4.644,0.210,g
2458189.61645,2018-03-12.1169082,bi,1.46,16.235,14.800,0.058,4.366,0.233,g
2458190.36468,2018-03-12.8651378,bm,2.09,16.617,15.863,0.109,1.640,0.164,g
2458190.36590,2018-03-12.8663519,bm,2.09,16.582,15.726,0.100,1.861,0.169,g
2458190.36713,2018-03-12.8675814,bm,2.10,16.521,15.780,0.111,1.770,0.179,g
2458190.61715,2018-03-13.1176056,bi,1.53,16.226,15.856,0.156,1.650,0.235,g
2458190.61837,2018-03-13.1188252,bi,1.40,16.318,15.989,0.162,1.461,0.216,g
2458190.61959,2018-03-13.1200446,bi,1.43,16.402,15.836,0.130,1.681,0.200,g
2458191.60476,2018-03-14.1052155,bi,1.49,16.289,15.396,0.096,2.520,0.222,g
2458191.60599,2018-03-14.1064420,bi,1.50,16.387,15.297,0.080,2.762,0.203,g
2458191.60722,2018-03-14.1076665,bi,1.53,16.378,15.257,0.078,2.865,0.204,g
2458192.35762,2018-03-14.8580719,bm,1.57,16.455,14.714,0.044,4.726,0.190,g
2458192.35889,2018-03-14.8593365,bm,1.56,16.344,14.712,0.049,4.734,0.211,g
2458192.36010,2018-03-14.8605424,bm,1.42,16.416,14.695,0.045,4.809,0.197,g
2458192.60407,2018-03-15.1045170,bi,1.50,16.344,15.299,0.084,2.758,0.211,g
2458192.60529,2018-03-15.1057355,bi,1.44,16.426,15.302,0.078,2.750,0.195,g
2458192.60651,2018-03-15.1069584,bi,1.43,16.383,15.324,0.083,2.693,0.203,g
2458193.59954,2018-03-16.0999859,bi,1.53,16.488,15.735,0.110,1.846,0.185,g
2458193.60078,2018-03-16.1012256,bi,1.48,16.412,15.716,0.115,1.878,0.198,g
2458193.60201,2018-03-16.1024453,bi,1.44,16.408,15.770,0.122,1.788,0.199,g
2458194.59876,2018-03-17.0992019,bi,1.46,16.438,15.736,0.115,1.844,0.193,g
2458194.59999,2018-03-17.1004293,bi,1.51,16.396,15.644,0.110,2.006,0.201,g
2458194.60121,2018-03-17.1016539,bi,1.50,16.470,15.913,0.131,1.567,0.188,g
2458195.33984,2018-03-17.8402711,bm,1.45,16.557,16.015,0.133,1.427,0.173,g
2458195.34105,2018-03-17.8414877,bm,1.55,16.468,15.947,0.136,1.518,0.188,g
2458195.34226,2018-03-17.8426923,bm,1.53,16.563,15.762,0.105,1.799,0.172,g
2458195.59768,2018-03-18.0981159,bi,1.67,16.461,15.820,0.121,1.706,0.189,g
2458195.59890,2018-03-18.0993348,bi,1.65,16.451,16.000,0.145,1.446,0.191,g
2458195.60011,2018-03-18.1005549,bi,1.65,16.362,16.050,0.164,1.380,0.207,g
2458196.34206,2018-03-18.8424964,bm,1.58,99.990,99.990,99.990,99.990,99.990,g
2458196.34327,2018-03-18.8437060,bm,1.57,99.990,99.990,99.990,99.990,99.990,g
2458196.34448,2018-03-18.8449094,bm,1.57,99.990,99.990,99.990,99.990,99.990,g
2458196.59365,2018-03-19.0940783,bi,1.43,16.339,15.715,0.123,1.879,0.212,g
2458196.59487,2018-03-19.0953015,bi,1.46,16.465,15.753,0.114,1.815,0.189,g
2458196.59610,2018-03-19.0965355,bi,1.49,16.481,15.808,0.118,1.725,0.186,g
2458197.33369,2018-03-19.8341199,bm,1.54,99.990,99.990,99.990,99.990,99.990,g
2458197.33490,2018-03-19.835325,bm,1.55,99.990,99.990,99.990,99.990,99.990,g
2458197.33611,2018-03-19.8365342,bm,1.49,99.990,99.990,99.990,99.990,99.990,g
2458197.58885,2018-03-20.0892828,bi,1.50,16.410,16.391,0.216,1.009,0.198,g
2458197.59008,2018-03-20.0905081,bi,1.47,16.426,>16.426,99.990,0.816,0.195,g
2458197.59131,2018-03-20.0917303,bi,1.45,16.371,16.107,0.172,1.309,0.205,g
2458198.33446,2018-03-20.8348877,bm,1.49,16.528,>16.528,99.990,0.845,0.178,g
2458198.33567,2018-03-20.8360938,bm,1.54,16.506,>16.506,99.990,0.873,0.181,g
2458198.33688,2018-03-20.8373001,bm,1.54,16.445,>16.445,99.990,0.642,0.192,g
2458198.59120,2018-03-21.0916224,bi,1.53,16.351,>16.351,99.990,0.643,0.209,g
2458198.59242,2018-03-21.0928391,bi,1.47,16.355,>16.355,99.990,0.706,0.208,g
2458198.59364,2018-03-21.0940607,bi,1.57,16.372,>16.372,99.990,0.747,0.205,g
2458199.23706,2018-03-21.7374846,bm,1.63,16.321,>16.321,99.990,0.550,0.215,g
2458199.23827,2018-03-21.7386925,bm,1.67,16.279,>16.279,99.990,0.773,0.224,g
2458199.23952,2018-03-21.7399476,bm,1.58,16.329,>16.329,99.990,0.838,0.214,g
2458199.58734,2018-03-22.0877569,bi,1.42,16.339,>16.339,99.990,0.646,0.212,g
2458199.58856,2018-03-22.0889802,bi,1.51,16.403,>16.403,99.990,0.694,0.199,g
2458199.58978,2018-03-22.0902009,bi,1.42,16.502,>16.502,99.990,0.704,0.182,g
2458200.23607,2018-03-22.7364827,bm,1.64,16.281,>16.281,99.990,0.332,0.223,g
2458200.23728,2018-03-22.7376994,bm,1.60,16.280,>16.280,99.990,0.168,0.223,g
2458200.23852,2018-03-22.7389408,bm,1.62,16.411,>16.411,99.990,0.496,0.198,g
2458200.58326,2018-03-23.0836717,bi,1.54,16.307,>16.307,99.990,0.574,0.218,g
2458200.58449,2018-03-23.0848987,bi,1.57,16.466,>16.466,99.990,0.532,0.188,g
2458200.58570,2018-03-23.0861173,bi,1.50,16.495,>16.495,99.990,0.369,0.183,g
2458201.23554,2018-03-23.7359526,bm,2.25,16.154,>16.154,99.990,0.622,0.251,g
2458201.23676,2018-03-23.7371737,bm,2.21,16.260,>16.260,99.990,0.588,0.227,g
2458201.23799,2018-03-23.7383986,bm,2.22,16.320,>16.320,99.990,0.505,0.215,g
2458201.59530,2018-03-24.0957167,bi,1.38,16.415,>16.415,99.990,0.646,0.197,g
2458201.59653,2018-03-24.0969353,bi,1.39,16.326,>16.326,99.990,0.609,0.214,g
2458201.59774,2018-03-24.0981528,bi,1.41,16.491,>16.491,99.990,0.453,0.184,g
2458202.58005,2018-03-25.0804614,bi,1.51,16.224,>16.224,99.990,0.919,0.235,g
2458202.58127,2018-03-25.0816771,bi,1.46,16.187,>16.187,99.990,0.627,0.243,g
2458202.58249,2018-03-25.0828932,bi,1.50,16.354,>16.354,99.990,0.577,0.209,g
2458203.25565,2018-03-25.7560559,bm,1.61,16.439,>16.439,99.990,0.139,0.193,g
2458203.25687,2018-03-25.7572663,bm,1.56,16.398,>16.398,99.990,0.468,0.200,g
2458203.25807,2018-03-25.7584710,bm,1.58,16.410,>16.410,99.990,0.035,0.198,g
2458203.57984,2018-03-26.0802474,bi,1.56,16.104,>16.104,99.990,0.615,0.263,g
2458203.58107,2018-03-26.0814718,bi,1.60,16.456,>16.456,99.990,0.269,0.190,g
2458203.58229,2018-03-26.0826863,bi,1.48,16.172,>16.172,99.990,0.792,0.247,g
2458204.28054,2018-03-26.7809366,bm,1.51,16.419,>16.419,99.990,0.453,0.196,g
2458204.28175,2018-03-26.7821438,bm,1.54,16.344,>16.344,99.990,0.469,0.211,g
2458204.28297,2018-03-26.7833605,bm,1.60,16.242,>16.242,99.990,0.711,0.231,g
2458204.57091,2018-03-27.0713108,bi,1.44,16.070,>16.070,99.990,0.789,0.271,g
2458204.57213,2018-03-27.0725289,bi,1.43,16.081,>16.081,99.990,0.595,0.268,g
2458204.57335,2018-03-27.0737431,bi,1.45,16.176,>16.176,99.990,0.440,0.246,g
2458205.56931,2018-03-28.0696987,bi,1.45,16.062,>16.062,99.990,0.200,0.273,g
2458205.57052,2018-03-28.0709167,bi,1.44,16.010,>16.010,99.990,0.942,0.286,g
2458205.57174,2018-03-28.0721331,bi,1.48,16.185,>16.185,99.990,0.280,0.244,g
2458206.55840,2018-03-29.0587868,bi,1.42,15.967,>15.967,99.990,0.093,0.298,g
2458206.55962,2018-03-29.0600063,bi,1.38,16.044,>16.044,99.990,0.758,0.278,g
2458206.56084,2018-03-29.0612283,bi,1.46,15.798,>15.798,99.990,0.877,0.348,g
2458207.56173,2018-03-30.0621093,bi,1.44,15.787,>15.787,99.990,0.036,0.352,g
2458207.56295,2018-03-30.0633362,bi,1.46,15.767,>15.767,99.990,-0.033,0.358,g
2458207.56417,2018-03-30.0645549,bi,1.48,15.800,>15.800,99.990,-0.192,0.348,g
2458208.57300,2018-03-31.0733824,bi,1.51,15.696,>15.696,99.990,0.415,0.383,g
2458208.57423,2018-03-31.0746123,bi,1.42,15.664,>15.664,99.990,0.808,0.394,g
2458208.57545,2018-03-31.0758309,bi,1.53,15.791,>15.791,99.990,-0.060,0.350,g
2458209.55999,2018-04-01.0603672,bi,1.53,15.921,>15.921,99.990,0.661,0.311,g
2458209.56123,2018-04-01.0615987,bi,1.48,15.725,>15.725,99.990,1.004,0.372,g
2458209.56245,2018-04-01.0628231,bi,1.51,15.830,>15.830,99.990,-0.671,0.338,g
2458210.55479,2018-04-02.0551488,bi,1.43,15.962,>15.962,99.990,0.451,0.299,g
2458210.55600,2018-04-02.0563672,bi,1.51,15.866,>15.866,99.990,-0.063,0.327,g
2458210.55723,2018-04-02.0575961,bi,1.51,15.912,>15.912,99.990,0.137,0.313,g
2458211.29661,2018-04-02.7969719,bm,1.53,16.171,>16.171,99.990,-0.076,0.247,g
2458211.29783,2018-04-02.7981884,bm,1.49,16.219,>16.219,99.990,-0.106,0.236,g
2458211.29904,2018-04-02.7994031,bm,1.57,16.256,>16.256,99.990,0.172,0.228,g
2458211.55451,2018-04-03.0548748,bi,1.45,15.994,>15.994,99.990,0.414,0.291,g
2458211.55574,2018-04-03.0560993,bi,1.51,16.052,>16.052,99.990,-0.219,0.276,g
2458211.55697,2018-04-03.0573259,bi,1.50,16.050,>16.050,99.990,0.235,0.276,g
2458212.49836,2018-04-03.9987128,bi,1.41,16.388,>16.388,99.990,0.524,0.202,g
2458212.49959,2018-04-03.9999439,bi,1.42,16.322,>16.322,99.990,0.854,0.215,g
2458212.50081,2018-04-04.0011637,bi,1.53,16.358,>16.358,99.990,0.535,0.208,g
2458214.31042,2018-04-05.8107667,bp,1.60,16.618,>16.618,99.990,0.118,0.164,g
2458214.31178,2018-04-05.8121243,bp,1.63,16.471,>16.471,99.990,0.301,0.187,g
2458214.31348,2018-04-05.8138184,bp,1.63,16.480,>16.480,99.990,0.248,0.186,g
2458214.48178,2018-04-05.9821188,bi,1.53,16.192,>16.192,99.990,0.747,0.242,g
2458214.48299,2018-04-05.9833350,bi,1.42,16.339,>16.339,99.990,-0.030,0.212,g
2458214.48421,2018-04-05.9845533,bi,1.45,16.279,>16.279,99.990,0.156,0.224,g
2458215.28544,2018-04-06.7857792,bp,1.96,16.532,>16.532,99.990,0.232,0.177,g
2458215.28667,2018-04-06.7870048,bp,1.97,16.521,>16.521,99.990,0.282,0.179,g
2458215.28788,2018-04-06.7882157,bp,1.68,16.492,>16.492,99.990,0.406,0.184,g
2458215.47350,2018-04-06.9738340,bi,2.07,15.730,>15.730,99.990,-0.225,0.371,g
2458215.47472,2018-04-06.9750597,bi,2.04,15.859,>15.859,99.990,0.277,0.329,g
2458215.47594,2018-04-06.9762819,bi,2.02,15.906,>15.906,99.990,-0.159,0.315,g
2458216.28082,2018-04-07.7811576,bm,1.99,16.596,>16.596,99.990,0.294,0.167,g
2458216.28204,2018-04-07.7823659,bm,2.03,16.593,>16.593,99.990,0.393,0.167,g
2458216.28324,2018-04-07.7835709,bm,2.03,16.456,>16.456,99.990,0.060,0.190,g
2458216.47645,2018-04-07.9767832,bi,2.25,16.194,>16.194,99.990,0.179,0.242,g
2458216.47767,2018-04-07.9779937,bi,2.21,16.258,>16.258,99.990,0.488,0.228,g
2458216.47888,2018-04-07.9792077,bi,2.19,16.322,>16.322,99.990,0.114,0.215,g
2458217.27988,2018-04-08.7802125,bm,2.04,16.197,>16.197,99.990,0.028,0.241,g
2458217.28112,2018-04-08.7814418,bm,2.03,16.152,>16.152,99.990,0.333,0.251,g
2458217.28233,2018-04-08.7826585,bm,2.01,15.479,>15.479,99.990,-0.159,0.467,g
2458217.53531,2018-04-09.0356317,bi,1.44,16.496,>16.496,99.990,-0.017,0.183,g
2458217.53653,2018-04-09.0368524,bi,1.43,16.379,>16.379,99.990,0.514,0.204,g
2458217.53774,2018-04-09.0380675,bi,1.47,16.229,>16.229,99.990,0.256,0.234,g
2458218.53094,2018-04-10.0312586,bi,1.48,16.390,>16.390,99.990,0.660,0.202,g
2458218.53216,2018-04-10.0324785,bi,1.45,16.386,>16.386,99.990,0.516,0.203,g
2458218.53338,2018-04-10.0336974,bi,1.48,16.500,>16.500,99.990,0.090,0.182,g
2458220.53746,2018-04-12.0377565,bi,1.43,16.265,>16.265,99.990,0.231,0.227,g
2458220.53868,2018-04-12.0389775,bi,1.48,16.335,>16.335,99.990,0.351,0.212,g
2458220.53989,2018-04-12.0401945,bi,1.41,16.325,>16.325,99.990,0.203,0.214,g
2458221.53703,2018-04-13.0373303,bi,1.46,16.427,>16.427,99.990,0.145,0.195,g
2458221.53825,2018-04-13.0385512,bi,1.47,16.331,>16.331,99.990,0.464,0.213,g
2458221.53947,2018-04-13.0397696,bi,1.52,16.283,>16.283,99.990,0.550,0.223,g
2458222.53250,2018-04-14.0327920,bi,1.42,16.440,>16.440,99.990,0.207,0.193,g
2458222.53373,2018-04-14.0340217,bi,1.47,16.443,>16.443,99.990,0.438,0.192,g
2458222.53495,2018-04-14.0352400,bi,1.42,16.377,>16.377,99.990,0.243,0.204,g
2458223.26417,2018-04-14.7644606,bm,1.49,16.483,>16.483,99.990,0.114,0.185,g
2458223.26539,2018-04-14.7656773,bm,1.52,16.685,>16.685,99.990,0.218,0.154,g
2458223.26661,2018-04-14.7668962,bm,1.56,16.537,>16.537,99.990,-0.078,0.176,g
2458223.52830,2018-04-15.0285796,bi,1.50,16.355,>16.355,99.990,0.063,0.209,g
2458223.52952,2018-04-15.0297989,bi,1.45,16.426,>16.426,99.990,0.354,0.195,g
2458224.25979,2018-04-15.7600726,bm,1.50,16.511,>16.511,99.990,0.289,0.181,g
2458224.26101,2018-04-15.7612927,bm,1.54,16.547,>16.547,99.990,0.278,0.175,g
2458224.26223,2018-04-15.7625100,bm,1.55,16.611,>16.611,99.990,0.302,0.165,g
2458224.52645,2018-04-16.0267355,bi,1.59,16.368,>16.368,99.990,0.473,0.206,g
2458224.52767,2018-04-16.0279494,bi,1.60,16.383,>16.383,99.990,0.110,0.203,g
2458224.52888,2018-04-16.0291699,bi,1.60,16.333,>16.333,99.990,0.299,0.213,g
2458225.52192,2018-04-17.0221907,bi,1.52,16.368,>16.368,99.990,0.293,0.206,g
2458225.52314,2018-04-17.0234134,bi,1.41,16.227,>16.227,99.990,0.333,0.235,g
2458225.52436,2018-04-17.0246313,bi,1.51,16.334,>16.334,99.990,0.189,0.212,g
2458226.52207,2018-04-18.0223329,bi,1.57,16.302,>16.302,99.990,0.107,0.219,g
2458226.52329,2018-04-18.0235525,bi,1.59,15.928,>15.928,99.990,0.656,0.309,g
2458227.51417,2018-04-19.0144255,bi,1.46,16.384,>16.384,99.990,0.260,0.203,g
2458228.24948,2018-04-19.7497312,bm,2.03,16.540,>16.540,99.990,0.146,0.176,g
2458228.25069,2018-04-19.7509408,bm,2.05,16.514,>16.514,99.990,-0.130,0.180,g
2458228.25190,2018-04-19.7521540,bm,2.07,99.990,99.990,99.990,99.990,99.990,g
2458228.51336,2018-04-20.0136155,bi,1.40,16.360,>16.360,99.990,0.295,0.207,g
2458228.51460,2018-04-20.0148450,bi,1.39,16.322,>16.322,99.990,0.195,0.215,g
2458228.51581,2018-04-20.0160612,bi,1.46,16.312,>16.312,99.990,0.096,0.217,g
2458229.24496,2018-04-20.7452068,bm,1.49,16.410,>16.410,99.990,0.105,0.198,g
2458229.24617,2018-04-20.7464212,bm,1.46,16.460,>16.460,99.990,0.319,0.189,g
2458229.24740,2018-04-20.7476387,bm,1.53,16.493,>16.493,99.990,0.246,0.184,g
2458229.50910,2018-04-21.0093425,bi,1.40,16.435,>16.435,99.990,0.087,0.194,g
2458229.51033,2018-04-21.0105726,bi,1.43,16.425,>16.425,99.990,0.268,0.195,g
2458229.51155,2018-04-21.0117913,bi,1.39,16.333,>16.333,99.990,0.174,0.213,g
2458230.21476,2018-04-21.7150013,bm,1.73,16.366,>16.366,99.990,0.232,0.206,g
2458230.21598,2018-04-21.7162182,bm,1.95,16.327,>16.327,99.990,0.297,0.214,g
2458230.21719,2018-04-21.7174232,bm,1.63,16.477,>16.477,99.990,-0.016,0.186,g
2458230.48866,2018-04-21.9888997,bi,1.49,16.268,>16.268,99.990,-0.278,0.226,g
2458231.21040,2018-04-22.7106312,bm,1.99,16.259,>16.259,99.990,0.277,0.228,g
2458231.21162,2018-04-22.7118505,bm,1.97,16.244,>16.244,99.990,0.392,0.231,g
2458231.21283,2018-04-22.7130636,bm,1.96,16.330,>16.330,99.990,0.131,0.213,g
2458231.47704,2018-04-22.9772721,bi,1.46,16.311,>16.311,99.990,-0.138,0.217,g
2458231.47826,2018-04-22.9784893,bi,1.56,16.302,>16.302,99.990,0.123,0.219,g
2458231.47948,2018-04-22.9797032,bi,1.52,16.350,>16.350,99.990,0.169,0.210,g
2458232.23460,2018-04-23.7348290,bm,1.58,16.398,>16.398,99.990,0.373,0.200,g
2458232.23590,2018-04-23.7361253,bm,1.44,16.503,>16.503,99.990,0.146,0.182,g
2458232.23765,2018-04-23.7378722,bm,1.58,15.920,>15.920,99.990,-0.163,0.311,g
2458232.48000,2018-04-23.9802201,bi,1.50,16.155,>16.155,99.990,0.405,0.251,g
2458232.48122,2018-04-23.9814354,bi,1.46,16.150,>16.150,99.990,-0.014,0.252,g
2458232.48244,2018-04-23.9826585,bi,1.49,16.053,>16.053,99.990,0.441,0.275,g
2458233.22390,2018-04-24.7241172,bm,1.45,16.515,>16.515,99.990,0.181,0.180,g
2458233.22511,2018-04-24.7253336,bm,1.50,16.307,>16.307,99.990,0.046,0.218,g
2458233.22633,2018-04-24.7265527,bm,1.48,16.302,>16.302,99.990,0.204,0.219,g
2458235.48182,2018-04-26.9820185,bi,1.61,14.152,>14.152,99.990,-3.172,1.587,g
2458235.48305,2018-04-26.9832432,bi,1.58,15.346,>15.346,99.990,-0.850,0.528,g
2458235.48426,2018-04-26.9844618,bi,1.99,13.891,>13.891,99.990,-1.122,2.016,g
2458236.48126,2018-04-27.9814496,bi,1.57,16.003,>16.003,99.990,-0.346,0.288,g
2458236.48249,2018-04-27.9826781,bi,1.50,15.961,>15.961,99.990,-0.428,0.300,g
2458236.48371,2018-04-27.9839010,bi,1.55,15.891,>15.891,99.990,-0.386,0.320,g
2458238.22050,2018-04-29.7206738,bm,1.48,16.071,>16.071,99.990,-0.014,0.271,g
2458238.22171,2018-04-29.7218834,bm,1.55,15.982,>15.982,99.990,-0.442,0.294,g
2458238.22293,2018-04-29.7231084,bm,1.54,16.079,>16.079,99.990,0.164,0.269,g
2458238.47273,2018-04-29.9729076,bi,1.50,15.898,>15.898,99.990,0.596,0.318,g
2458238.47395,2018-04-29.9741284,bi,1.52,15.892,>15.892,99.990,-0.140,0.319,g
2458238.47518,2018-04-29.9753533,bi,1.45,15.711,>15.711,99.990,-0.140,0.377,g
2458239.21998,2018-04-30.7201488,bm,1.65,16.179,>16.179,99.990,0.023,0.245,g
2458239.22119,2018-04-30.7213557,bm,1.56,16.154,>16.154,99.990,0.169,0.251,g
2458239.22239,2018-04-30.7225596,bm,1.62,16.178,>16.178,99.990,0.248,0.245,g
2458241.21257,2018-05-02.7127158,bm,1.55,15.096,>15.096,99.990,0.194,0.665,g
