HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458697.66223,2019-08-02.1617760,bm,1.47,15.222,11.355,0.008,104.198,0.795,g
2458697.66345,2019-08-02.1629918,bm,1.50,15.224,11.350,0.008,104.713,0.792,g
2458697.66467,2019-08-02.1642112,bm,1.54,15.245,11.358,0.008,104.016,0.803,g
2458703.89772,2019-08-08.3972585,bE,1.50,15.547,12.037,0.010,55.624,0.518,g
2458707.88719,2019-08-12.3867385,bE,1.60,15.693,12.495,0.012,36.474,0.423,g
2458707.88846,2019-08-12.3880120,bE,1.58,15.710,12.505,0.012,36.154,0.420,g
2458707.88972,2019-08-12.3892740,bE,1.51,15.759,12.486,0.012,36.788,0.398,g
2458709.87955,2019-08-14.3791071,bE,1.51,15.505,12.577,0.016,33.836,0.496,g
2458709.88082,2019-08-14.3803763,bE,1.58,15.512,12.578,0.016,33.787,0.489,g
2458709.88219,2019-08-14.3817423,bE,1.43,15.467,12.548,0.016,34.745,0.509,g
2458711.87317,2019-08-16.3727343,bE,1.47,15.442,12.571,0.017,33.999,0.519,g
2458711.87444,2019-08-16.3740012,bE,1.41,15.527,12.598,0.016,33.155,0.481,g
2458711.87570,2019-08-16.3752642,bE,1.54,15.351,12.624,0.019,32.392,0.558,g
2458712.86986,2019-08-17.3694256,bE,1.61,15.561,12.660,0.016,31.335,0.466,g
2458712.87112,2019-08-17.3706960,bE,1.49,15.530,12.628,0.016,32.262,0.477,g
2458712.87240,2019-08-17.3719712,bE,1.58,15.587,12.630,0.015,32.212,0.455,g
2458713.87029,2019-08-18.3698586,bE,1.52,15.740,12.944,0.018,24.116,0.386,g
2458713.87157,2019-08-18.3711372,bE,1.49,15.671,12.954,0.019,23.897,0.409,g
2458713.87284,2019-08-18.3724098,bE,1.51,15.653,12.971,0.019,23.548,0.415,g
2458714.86658,2019-08-19.3661554,bE,1.44,14.219,12.699,0.056,30.234,1.560,g
2458714.86786,2019-08-19.3674291,bE,1.45,99.990,99.990,99.990,99.990,99.990,g
2458714.86912,2019-08-19.3686954,bE,1.49,99.990,99.990,99.990,99.990,99.990,g
2458719.84943,2019-08-24.3490216,bE,1.51,15.773,13.147,0.020,20.009,0.370,g
2458719.85071,2019-08-24.3502918,bE,1.45,15.781,13.153,0.020,19.904,0.368,g
2458719.85198,2019-08-24.3515674,bE,1.48,15.820,13.152,0.020,19.921,0.355,g
2458720.56263,2019-08-25.0622125,bm,1.57,15.682,12.992,0.019,23.080,0.401,g
2458720.56386,2019-08-25.0634497,bm,1.60,15.721,12.959,0.018,23.797,0.392,g
2458720.56512,2019-08-25.0647045,bm,1.55,15.764,12.988,0.018,23.165,0.375,g
2458721.91835,2019-08-26.4179447,bE,1.39,15.816,13.380,0.024,16.158,0.351,g
2458721.91963,2019-08-26.4192255,bE,1.56,15.772,13.381,0.024,16.132,0.364,g
