JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458800.84941,12.851,0.015,,B,HMB,,UCAC4 100-008170,UCAC4 099-007382,X24876QD,STANDARD MAG: C = 10.278  K = 12.545,0,1.573,Z,16.793,19.079,,PNV J05145365-7009486,VVS,STD,,,,
2458800.84980,12.836,0.014,,B,HMB,,UCAC4 100-008170,UCAC4 099-007382,X24876QD,STANDARD MAG: C = 10.278  K = 12.545,0,1.574,Z,16.799,19.072,,PNV J05145365-7009486,VVS,STD,,,,
2458800.85016,12.794,0.015,,V,HMB,,UCAC4 100-008170,UCAC4 099-007382,X24876QD,STANDARD MAG: C =  9.827  K = 11.803,0,1.575,Z,16.384,18.367,,PNV J05145365-7009486,VVS,STD,,,,
2458800.85043,12.818,0.015,,V,HMB,,UCAC4 100-008170,UCAC4 099-007382,X24876QD,STANDARD MAG: C =  9.827  K = 11.803,0,1.575,Z,16.379,18.345,,PNV J05145365-7009486,VVS,STD,,,,
2458800.85074,11.946,0.020,,I,HMB,,UCAC4 100-008170,UCAC4 099-007382,X24876QD,STANDARD MAG: C =  9.280  K = 10.949,0,1.576,Z,17.297,18.989,,PNV J05145365-7009486,VVS,STD,,,,
2458800.85101,11.949,0.020,,I,HMB,,UCAC4 100-008170,UCAC4 099-007382,X24876QD,STANDARD MAG: C =  9.280  K = 10.949,0,1.577,Z,17.286,18.976,,PNV J05145365-7009486,VVS,STD,,,,
2458800.96390,12.921,0.048,,B,BHQ,,137,,X24878AUI,,0,1.704,Z,-4.437,,,PNV J05145365-7009486,VSS,STD,,,,
2458800.97340,12.989,0.057,,V,BHQ,,ENSEMBLE,144_1,X24878AUI,,0,1.658,Z,,14.530,,PNV J05145365-7009486,VSS,STD,,,,
2458801.01984,12.887,0.011,,B,MGW,,136-000-BNH-659,144-000-BNH-662,X24878EP,T50 - SIDING SPRING,0,1.481,Z,13.887,14.701,,PNV J05145365-7009486,AAVSO,STD,,,,
2458801.02122,12.808,0.010,,V,MGW,,136-000-BNH-659,144-000-BNH-662,X24878EP,T50 - SIDING SPRING,0,1.477,Z,13.015,13.767,,PNV J05145365-7009486,AAVSO,STD,,,,
