HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458921.26678,2020-03-12.7672390,bm,1.56,16.848,>16.848,99.990,0.288,0.132,g
2458921.26800,2020-03-12.7684570,bm,1.65,16.747,>16.747,99.990,0.337,0.145,g
2458921.49795,2020-03-12.9984086,bE,2.18,16.329,>16.329,99.990,0.449,0.213,g
2458921.49922,2020-03-12.9996768,bE,2.17,16.338,>16.338,99.990,-0.029,0.212,g
2458921.50050,2020-03-13.0009626,bE,2.16,16.577,>16.577,99.990,0.580,0.170,g
2458922.24390,2020-03-13.7443545,bm,2.11,16.026,>16.026,99.990,0.576,0.282,g
2458922.24512,2020-03-13.7455766,bm,2.10,16.304,>16.304,99.990,0.434,0.219,g
2458922.24637,2020-03-13.7468258,bm,2.08,16.392,>16.392,99.990,0.035,0.202,g
2458922.37982,2020-03-13.8802694,bm,1.51,16.215,>16.215,99.990,0.364,0.237,g
2458922.38103,2020-03-13.8814762,bm,1.49,16.225,>16.225,99.990,0.246,0.235,g
2458923.23925,2020-03-14.7396908,bm,1.56,15.739,>15.739,99.990,-0.225,0.368,g
2458923.24047,2020-03-14.7409187,bm,1.59,15.879,>15.879,99.990,0.442,0.323,g
2458923.24169,2020-03-14.7421365,bm,1.63,16.167,>16.167,99.990,0.005,0.248,g
2458923.37689,2020-03-14.8773346,bm,1.98,16.368,>16.368,99.990,-0.214,0.206,g
2458923.37811,2020-03-14.8785554,bm,1.65,99.990,99.990,99.990,99.990,99.990,g
2458923.37933,2020-03-14.8797717,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2458923.49228,2020-03-14.9927287,bi,2.47,14.092,>14.092,99.990,2.000,1.677,g
2458923.49352,2020-03-14.9939607,bi,2.50,14.871,>14.871,99.990,-0.428,0.818,g
2458923.56640,2020-03-15.0668427,bE,1.45,16.816,>16.816,99.990,-0.076,0.136,g
2458923.56768,2020-03-15.0681217,bE,1.50,16.736,>16.736,99.990,0.302,0.147,g
2458923.56896,2020-03-15.0693994,bE,1.52,16.906,>16.906,99.990,0.143,0.126,g
2458924.23845,2020-03-15.7388819,bm,1.53,15.515,>15.515,99.990,1.346,0.452,g
2458924.24111,2020-03-15.7415554,bm,1.59,16.079,>16.079,99.990,-0.050,0.269,g
2458924.49144,2020-03-15.9918673,bi,2.13,15.595,>15.595,99.990,0.430,0.420,g
2458924.49266,2020-03-15.9930928,bi,2.10,15.766,>15.766,99.990,-0.426,0.359,g
2458924.49388,2020-03-15.9943140,bi,2.07,15.742,>15.742,99.990,0.303,0.367,g
2458924.56549,2020-03-16.0659219,bE,1.59,17.101,>17.101,99.990,0.162,0.105,g
2458924.56679,2020-03-16.0672225,bE,1.55,16.830,>16.830,99.990,-0.004,0.135,g
2458924.56805,2020-03-16.0684865,bE,1.58,16.770,>16.770,99.990,0.383,0.142,g
