JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459171.670457,9.936,0.008,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.485,Z,18.322,16.833,,ASASSN-20OH,VVS,STD,,,,
2459171.670666,9.921,0.008,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,18.333,16.837,,ASASSN-20OH,VVS,STD,,,,
2459171.670909,10.884,0.006,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.484,Z,17.425,15.880,,ASASSN-20OH,VVS,STD,,,,
2459171.671128,10.872,0.006,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.483,Z,17.433,15.891,,ASASSN-20OH,VVS,STD,,,,
2459171.671400,11.314,0.007,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.483,Z,17.993,16.464,,ASASSN-20OH,VVS,STD,,,,
2459171.671678,11.302,0.007,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.483,Z,18.010,16.477,,ASASSN-20OH,VVS,STD,,,,
2459171.671950,10.377,0.005,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.482,Z,17.250,15.751,,ASASSN-20OH,VVS,STD,,,,
2459171.672170,10.354,0.005,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.482,Z,17.256,15.743,,ASASSN-20OH,VVS,STD,,,,
2459171.74792,11.1,,,Vis.,AAX,K,109,114,X25746BL,TYC,,,Z,,,,ASASSN-20OH,NEOA-JBS,STD,,,,
2459172.094,11.2,,,Vis.,BNK,Y,107,119,X25746AGS,SELECTED MAGS FROM APASS,,,Z,,,,ASASSN-20OH,AAVSO,STD,,,,
2459172.21008,11.567,0.003,,V,PEX,,ENSEMBLE,STAR 4,X25762SL,,0,1.332,Z,,13.237,,ASASSN-20oh,AAVSO,STD,0,,,
2459172.21124,11.765,0.004,,B,PEX,,ENSEMBLE,STAR 4,X25762SL,,0,1.334,Z,,13.283,,ASASSN-20OH,AAVSO,STD,0,,,
2459172.21247,10.846,0.002,,I,PEX,,ENSEMBLE,STAR 4,X25762SL,,0,1.336,Z,,13.503,,ASASSN-20OH,AAVSO,STD,0,,,
2459172.667645,10.694,0.011,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.485,Z,18.264,16.780,,ASASSN-20OH,VVS,STD,,,,
2459172.667865,10.642,0.011,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,18.278,16.769,,ASASSN-20OH,VVS,STD,,,,
2459172.668108,12.115,0.009,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.484,Z,17.355,15.838,,ASASSN-20OH,VVS,STD,,,,
2459172.668328,12.078,0.009,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.484,Z,17.398,15.849,,ASASSN-20OH,VVS,STD,,,,
2459172.668600,12.278,0.011,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.483,Z,17.934,16.405,,ASASSN-20OH,VVS,STD,,,,
2459172.668866,12.295,0.011,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.483,Z,17.965,16.416,,ASASSN-20OH,VVS,STD,,,,
2459172.669149,11.270,0.007,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.482,Z,17.204,15.694,,ASASSN-20OH,VVS,STD,,,,
2459172.669358,11.271,0.007,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.482,Z,17.200,15.688,,ASASSN-20OH,VVS,STD,,,,
2459172.99176,12.428,0.127,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.345,Z,,13.770,,ASASSN-20OH,AAVSO,STD,,,,
