HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458818.91414,2019-12-01.4104043,bt,1.66,16.716,16.422,0.167,0.980,0.150,g
2458818.91535,2019-12-01.4116239,bt,1.61,16.756,16.539,0.179,0.880,0.144,g
2458818.91658,2019-12-01.4128420,bt,1.59,16.758,16.405,0.158,0.995,0.144,g
2458819.81979,2019-12-02.3160369,bt,1.50,17.343,16.362,0.089,1.036,0.084,g
2458819.82101,2019-12-02.3172561,bt,1.54,17.421,16.336,0.081,1.060,0.078,g
2458819.82222,2019-12-02.3184730,bt,1.53,17.366,16.357,0.086,1.040,0.082,g
2458820.90681,2019-12-03.4030429,bt,1.57,17.300,16.303,0.087,1.093,0.087,g
2458820.90804,2019-12-03.4042644,bt,1.55,17.220,16.341,0.097,1.056,0.094,g
2458820.90926,2019-12-03.4054848,bt,1.52,17.239,16.565,0.118,0.859,0.092,g
2458821.96299,2019-12-04.4592106,bD,1.45,17.557,16.508,0.083,0.905,0.069,g
2458825.00382,2019-12-07.4999916,bD,1.47,17.063,16.312,0.110,1.085,0.109,g
2458825.04694,2019-12-07.5431082,bD,1.45,17.527,16.481,0.084,0.928,0.071,g
2458825.97569,2019-12-08.4718503,bt,1.61,17.249,16.458,0.106,0.948,0.092,g
2458825.97689,2019-12-08.4730621,bt,1.62,17.153,16.726,0.148,0.740,0.100,g
2458825.97811,2019-12-08.4742804,bt,1.62,17.154,16.631,0.135,0.808,0.100,g
2458838.07799,2019-12-20.5741251,bD,1.53,16.243,16.005,0.176,1.438,0.231,g
2458838.07928,2019-12-20.5754092,bD,1.58,16.603,>16.603,99.990,0.573,0.166,g
2458838.08055,2019-12-20.5766829,bD,1.57,16.525,>16.525,99.990,0.576,0.178,g
2458840.71754,2019-12-23.2136891,bt,1.50,17.025,16.433,0.127,0.970,0.113,g
2458840.71875,2019-12-23.2148996,bt,1.51,16.962,16.361,0.126,1.037,0.119,g
2458840.71997,2019-12-23.2161217,bt,1.58,16.961,16.356,0.125,1.042,0.119,g
2458842.00075,2019-12-24.4969039,bD,1.46,17.564,16.419,0.076,0.983,0.069,g
2458842.00329,2019-12-24.4994488,bD,1.53,17.500,16.515,0.088,0.900,0.073,g
2458845.00325,2019-12-27.4994422,bD,1.60,17.585,16.718,0.098,0.747,0.067,g
2458845.00452,2019-12-27.5007172,bD,1.59,17.570,16.849,0.113,0.661,0.068,g
2458845.00580,2019-12-27.5019902,bD,1.59,17.670,16.649,0.085,0.795,0.062,g
2458847.84917,2019-12-30.3454011,bt,1.55,17.361,16.460,0.095,0.947,0.083,g
2458847.85038,2019-12-30.3466273,bt,1.65,17.245,16.274,0.089,1.124,0.092,g
2458847.85162,2019-12-30.3478591,bt,1.65,17.366,16.368,0.087,1.029,0.082,g
2458848.81866,2019-12-31.3149229,bD,2.26,17.076,15.896,0.074,1.591,0.108,g
2458848.81995,2019-12-31.3162020,bD,2.36,17.142,15.793,0.063,1.749,0.102,g
2458848.82123,2019-12-31.3174844,bD,2.35,17.031,15.951,0.081,1.512,0.112,g
2458849.85060,2020-01-01.3468675,bt,1.54,17.350,16.456,0.096,0.950,0.083,g
2458849.85184,2020-01-01.3481158,bt,1.51,17.308,16.412,0.096,0.989,0.087,g
2458849.85306,2020-01-01.3493318,bt,1.51,17.360,16.413,0.091,0.988,0.083,g
2458850.83936,2020-01-02.3356483,bt,1.65,17.314,16.372,0.092,1.025,0.086,g
2458850.84057,2020-01-02.3368601,bt,1.74,17.175,16.426,0.110,0.976,0.098,g
2458850.84179,2020-01-02.3380834,bt,1.59,17.064,16.464,0.126,0.943,0.109,g
2458853.81008,2020-01-05.3064244,bt,1.53,16.965,16.632,0.161,0.808,0.119,g
2458853.81130,2020-01-05.3076483,bt,1.58,16.953,16.328,0.123,1.069,0.120,g
2458853.81251,2020-01-05.3088680,bt,1.58,16.984,16.683,0.166,0.771,0.117,g
2458854.77703,2020-01-06.2734043,bt,1.46,16.578,>16.578,99.990,0.807,0.170,g
2458854.77826,2020-01-06.2746334,bt,1.47,16.744,16.708,0.212,0.753,0.146,g
2458856.84385,2020-01-08.3402870,bt,1.49,16.299,>16.299,99.990,0.745,0.219,g
2458856.84508,2020-01-08.3415079,bt,1.50,16.230,>16.230,99.990,0.690,0.234,g
2458856.84630,2020-01-08.3427266,bt,1.56,16.318,16.143,0.187,1.267,0.216,g
2458857.93435,2020-01-09.4308129,bD,2.15,16.120,15.838,0.169,1.678,0.259,g
2458857.93564,2020-01-09.4320974,bD,2.37,16.067,>16.067,99.990,1.015,0.272,g
2458857.93691,2020-01-09.4333747,bD,2.34,15.961,>15.961,99.990,1.416,0.300,g
2458858.86978,2020-01-10.3662656,bt,1.58,15.877,>15.877,99.990,0.743,0.324,g
2458858.87100,2020-01-10.3674848,bt,1.50,15.862,>15.862,99.990,0.481,0.328,g
2458858.87222,2020-01-10.3687070,bt,1.61,15.693,>15.693,99.990,0.151,0.384,g
2458861.59848,2020-01-13.0950479,bt,1.48,17.341,16.437,0.095,0.966,0.084,g
2458861.59970,2020-01-13.0962680,bt,1.49,17.381,16.540,0.101,0.879,0.081,g
2458861.60093,2020-01-13.0974937,bt,1.52,17.282,16.390,0.096,1.009,0.089,g
2458866.60775,2020-01-18.1044936,bt,1.58,17.376,16.424,0.091,0.979,0.082,g
2458866.60896,2020-01-18.1057092,bt,1.60,17.271,16.580,0.116,0.847,0.090,g
2458866.61018,2020-01-18.1069215,bt,1.54,17.370,16.508,0.099,0.905,0.082,g
2458903.84636,2020-02-24.3450568,bD,1.50,17.555,16.837,0.113,0.669,0.069,g
2458903.84762,2020-02-24.3463290,bD,1.43,17.502,16.446,0.083,0.959,0.073,g
2458903.84889,2020-02-24.3475944,bD,1.47,17.514,16.788,0.112,0.699,0.072,g
2458904.76968,2020-02-25.2684393,bt,1.78,17.278,16.321,0.091,1.076,0.089,g
2458904.77091,2020-02-25.2696658,bt,1.70,17.129,16.419,0.114,0.983,0.102,g
2458904.77213,2020-02-25.2708891,bt,1.67,17.070,16.521,0.132,0.895,0.108,g
2458905.62493,2020-02-26.1237435,bt,1.53,17.298,16.321,0.089,1.076,0.088,g
2458905.62615,2020-02-26.1249643,bt,1.52,17.365,16.488,0.098,0.923,0.082,g
2458905.62737,2020-02-26.1261784,bt,1.53,17.290,16.474,0.103,0.934,0.088,g
2458906.67946,2020-02-27.1783436,bt,1.46,17.271,16.518,0.109,0.897,0.090,g
2458906.68068,2020-02-27.1795590,bt,1.48,17.296,16.566,0.112,0.858,0.088,g
2458906.68190,2020-02-27.1807809,bt,1.50,17.293,16.474,0.103,0.935,0.088,g
2458907.71598,2020-02-28.2149246,bt,1.50,15.891,>15.891,99.990,0.465,0.320,g
2458907.71720,2020-02-28.2161467,bt,1.49,15.889,>15.889,99.990,0.821,0.320,g
2458907.71841,2020-02-28.2173626,bt,1.51,15.113,>15.113,99.990,1.488,0.655,g
2458911.83561,2020-03-03.3348324,bD,1.47,16.826,16.759,0.206,0.719,0.135,g
2458911.83688,2020-03-03.3361049,bD,1.49,16.877,16.736,0.193,0.734,0.129,g
2458911.83816,2020-03-03.3373821,bD,1.41,17.100,16.387,0.114,1.012,0.105,g
2458914.63051,2020-03-06.1299167,bt,1.48,14.965,>14.965,99.990,2.801,0.750,g
2458914.63172,2020-03-06.1311315,bt,1.48,15.048,>15.048,99.990,0.789,0.695,g
2458914.63294,2020-03-06.1323488,bt,1.45,14.854,>14.854,99.990,0.651,0.831,g
2458918.81353,2020-03-10.3132250,bD,1.57,16.192,>16.192,99.990,0.954,0.242,g
2458918.81482,2020-03-10.3145105,bD,1.50,16.181,>16.181,99.990,0.497,0.245,g
2458919.79422,2020-03-11.2939754,bD,1.44,16.473,>16.473,99.990,0.785,0.187,g
2458919.79680,2020-03-11.2965658,bD,1.50,16.563,16.494,0.206,0.917,0.172,g
2458920.68137,2020-03-12.1811839,bt,2.36,16.132,15.842,0.168,1.672,0.256,g
2458920.68258,2020-03-12.1824033,bt,2.00,16.368,16.262,0.199,1.135,0.206,g
2458920.68380,2020-03-12.1836214,bt,1.98,16.453,>16.453,99.990,0.703,0.191,g
2458922.82558,2020-03-14.3255479,bD,1.56,15.413,>15.413,99.990,0.317,0.496,g
2458922.82686,2020-03-14.3268333,bD,1.61,16.956,16.521,0.147,0.895,0.120,g
2458922.82815,2020-03-14.3281214,bD,1.64,16.748,16.702,0.210,0.757,0.145,g
2458929.77587,2020-03-21.2763090,bD,1.42,17.536,16.685,0.100,0.769,0.070,g
2458929.77715,2020-03-21.2775952,bD,1.48,17.575,16.541,0.084,0.879,0.068,g
2458929.77844,2020-03-21.2788851,bD,1.45,17.435,16.734,0.115,0.735,0.077,g
2458941.73619,2020-04-02.2374194,bD,1.51,16.712,16.376,0.161,1.022,0.150,g
2458941.73747,2020-04-02.2387078,bD,1.52,16.838,16.519,0.163,0.896,0.134,g
2458941.73876,2020-04-02.2399967,bD,1.46,16.936,16.504,0.147,0.909,0.122,g
2458958.61921,2020-04-19.1214732,bt,1.65,16.846,16.369,0.141,1.030,0.133,g
2458958.62042,2020-04-19.1226949,bt,1.60,17.019,16.484,0.134,0.926,0.113,g
2458958.62165,2020-04-19.1239229,bt,1.58,16.912,16.633,0.169,0.807,0.125,g
2458961.61696,2020-04-22.1193946,bt,1.54,17.130,16.490,0.121,0.921,0.102,g
2458961.61819,2020-04-22.1206216,bt,1.47,17.073,16.219,0.100,1.182,0.108,g
2458961.61941,2020-04-22.1218347,bt,1.50,17.128,16.561,0.130,0.863,0.102,g
2458963.61908,2020-04-24.1216146,bt,2.33,99.990,99.990,99.990,99.990,99.990,g
2458963.62031,2020-04-24.1228401,bt,2.30,99.990,99.990,99.990,99.990,99.990,g
2458965.61145,2020-04-26.1140912,bt,2.15,16.688,16.087,0.126,1.335,0.154,g
2458965.61266,2020-04-26.1153026,bt,2.13,16.784,16.001,0.106,1.445,0.141,g
2458965.61388,2020-04-26.1165185,bt,2.15,16.786,16.236,0.132,1.163,0.140,g
2458967.60125,2020-04-28.1039888,bt,2.47,99.990,99.990,99.990,99.990,99.990,g
2458967.60248,2020-04-28.1052165,bt,2.46,99.990,99.990,99.990,99.990,99.990,g
2458968.60551,2020-04-29.1082973,bt,2.05,15.748,15.649,0.200,1.997,0.365,g
2459059.12517,2020-07-28.6281784,bD,1.51,16.079,15.863,0.180,1.640,0.269,g
2459059.12646,2020-07-28.6294707,bD,1.62,15.946,>15.946,99.990,0.887,0.304,g
2459060.12496,2020-07-29.6279175,bD,1.56,16.159,>16.159,99.990,0.603,0.250,g
2459060.12624,2020-07-29.6292049,bD,1.48,16.151,16.124,0.214,1.289,0.252,g
2459061.12061,2020-07-30.6235251,bD,1.49,16.833,16.697,0.194,0.761,0.134,g
2459061.12189,2020-07-30.6248101,bD,1.48,16.754,16.592,0.189,0.838,0.144,g
2459061.12321,2020-07-30.6261292,bD,1.45,16.406,16.268,0.193,1.129,0.199,g
