HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459046.66666,2020-07-16.1659851,bm,1.48,16.891,>16.891,99.990,-0.064,0.127,g
2459046.66788,2020-07-16.1672057,bm,1.63,16.641,>16.641,99.990,0.019,0.160,g
2459046.66911,2020-07-16.1684322,bm,1.56,16.608,>16.608,99.990,0.143,0.165,g
2459048.67224,2020-07-18.1715663,bm,2.05,16.723,>16.723,99.990,0.086,0.149,g
2459048.67364,2020-07-18.1729592,bm,2.06,99.990,99.990,99.990,99.990,99.990,g
2459048.67488,2020-07-18.1742019,bm,2.08,99.990,99.990,99.990,99.990,99.990,g
2459049.66290,2020-07-19.1622195,bm,2.00,16.631,>16.631,99.990,0.022,0.162,g
2459052.65783,2020-07-22.1571408,bm,1.53,16.853,>16.853,99.990,0.020,0.132,g
2459052.65906,2020-07-22.1583686,bm,1.49,16.722,>16.722,99.990,0.194,0.149,g
2459052.66028,2020-07-22.1595959,bm,1.53,16.724,>16.724,99.990,0.310,0.148,g
2459064.62753,2020-08-03.1268418,bm,1.61,15.554,>15.554,99.990,-0.026,0.436,g
2459064.63053,2020-08-03.1298427,bm,1.57,15.529,>15.529,99.990,-0.454,0.446,g
2459068.63499,2020-08-07.1343107,bm,2.37,15.893,>15.893,99.990,-0.528,0.319,g
2459068.63621,2020-08-07.1355280,bm,2.35,15.907,>15.907,99.990,-0.361,0.315,g
2459068.63745,2020-08-07.1367686,bm,2.36,15.840,>15.840,99.990,-0.357,0.335,g
2459069.63167,2020-08-08.1309969,bm,2.28,15.882,>15.882,99.990,0.268,0.322,g
2459069.63294,2020-08-08.1322706,bm,2.26,15.888,>15.888,99.990,0.130,0.320,g
2459069.63422,2020-08-08.1335449,bm,2.22,16.018,>16.018,99.990,0.037,0.284,g
2459075.60803,2020-08-14.1073765,bm,2.01,16.660,>16.660,99.990,0.005,0.157,g
2459075.60925,2020-08-14.1085936,bm,2.01,16.536,>16.536,99.990,0.218,0.176,g
2459075.61048,2020-08-14.1098215,bm,2.02,16.709,>16.709,99.990,0.286,0.150,g
2459083.58812,2020-08-22.0874944,bm,2.03,16.808,>16.808,99.990,0.010,0.137,g
2459083.58935,2020-08-22.0887162,bm,2.02,16.646,>16.646,99.990,-0.046,0.159,g
2459083.59056,2020-08-22.0899405,bm,2.01,16.927,>16.927,99.990,-0.097,0.123,g
2459085.58827,2020-08-24.0876520,bm,1.53,16.825,>16.825,99.990,0.074,0.135,g
2459085.58950,2020-08-24.0888810,bm,1.54,16.726,>16.726,99.990,0.317,0.148,g
2459085.59072,2020-08-24.0901,bm,1.49,16.131,>16.131,99.990,0.306,0.256,g
2459086.58563,2020-08-25.0850222,bm,1.47,16.895,>16.895,99.990,0.091,0.127,g
2459086.58685,2020-08-25.0862348,bm,1.51,16.817,>16.817,99.990,0.197,0.136,g
2459086.58807,2020-08-25.0874540,bm,1.53,16.748,>16.748,99.990,0.236,0.145,g
2459092.56827,2020-08-31.0676885,bm,2.05,15.859,>15.859,99.990,0.720,0.329,g
2459093.56924,2020-09-01.0686690,bm,1.42,99.990,99.990,99.990,99.990,99.990,g
2459096.55177,2020-09-04.0512181,bm,2.12,15.277,>15.277,99.990,-0.291,0.563,g
2459096.55298,2020-09-04.0524251,bm,1.96,15.723,>15.723,99.990,0.411,0.373,g
2459096.55419,2020-09-04.0536388,bm,1.61,15.694,>15.694,99.990,-0.571,0.383,g
2459100.54578,2020-09-08.0452641,bm,1.55,16.391,>16.391,99.990,-0.090,0.202,g
2459100.54701,2020-09-08.0464846,bm,1.56,16.186,>16.186,99.990,-0.119,0.244,g
2459100.54822,2020-09-08.0477030,bm,1.58,16.225,>16.225,99.990,0.399,0.235,g
2459101.55001,2020-09-09.0494995,bm,1.62,16.389,>16.389,99.990,0.046,0.202,g
2459101.55124,2020-09-09.050725,bm,1.57,16.384,>16.384,99.990,0.062,0.203,g
2459101.55246,2020-09-09.0519409,bm,1.47,16.380,>16.380,99.990,0.458,0.204,g
2459103.53922,2020-09-11.0387252,bm,1.99,16.341,>16.341,99.990,-0.294,0.211,g
2459103.54044,2020-09-11.0399427,bm,1.63,16.366,>16.366,99.990,0.251,0.206,g
2459103.54167,2020-09-11.0411693,bm,1.69,16.409,>16.409,99.990,0.026,0.198,g
2459104.52815,2020-09-12.0276530,bm,1.54,16.497,>16.497,99.990,-0.334,0.183,g
2459104.52936,2020-09-12.0288726,bm,1.57,16.482,>16.482,99.990,0.152,0.186,g
