HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2461036.76103,2025-12-27.2614355,bE,1.46,17.063,>17.063,99.990,-0.022,0.109,g
2461036.76194,2025-12-27.2623509,bE,1.47,17.207,>17.207,99.990,-0.176,0.095,g
2461036.76284,2025-12-27.2632589,bE,1.51,17.321,>17.321,99.990,-0.043,0.086,g
2461037.69712,2025-12-28.1975432,bE,1.63,17.180,>17.180,99.990,-0.025,0.098,g
2461037.69801,2025-12-28.1984434,bE,1.58,17.120,>17.120,99.990,-0.059,0.103,g
2461037.69892,2025-12-28.1993434,bE,1.65,17.109,>17.109,99.990,-0.238,0.104,g
2461037.77765,2025-12-28.2780706,bF,2.24,99.990,99.990,99.990,99.990,99.990,g
2461037.77856,2025-12-28.2789804,bF,2.19,99.990,99.990,99.990,99.990,99.990,g
2461037.77945,2025-12-28.2798820,bF,2.22,99.990,99.990,99.990,99.990,99.990,g
2461037.84991,2025-12-28.3503326,bF,2.37,99.990,99.990,99.990,99.990,99.990,g
2461037.85082,2025-12-28.35125,bF,2.33,16.880,>16.880,99.990,-0.320,0.128,g
2461037.85173,2025-12-28.3521542,bF,2.35,16.825,>16.825,99.990,-0.450,0.135,g
2461038.43659,2025-12-28.9370207,bn,1.62,16.945,>16.945,99.990,0.062,0.121,g
2461038.43877,2025-12-28.9391979,bn,1.59,16.947,>16.947,99.990,0.070,0.121,g
2461038.60532,2025-12-29.1057572,bF,2.09,99.990,99.990,99.990,99.990,99.990,g
2461038.60622,2025-12-29.1066553,bF,2.07,99.990,99.990,99.990,99.990,99.990,g
2461038.60714,2025-12-29.1075744,bF,2.06,99.990,99.990,99.990,99.990,99.990,g
2461038.68900,2025-12-29.1894350,bE,1.49,17.037,>17.037,99.990,0.071,0.111,g
2461038.68991,2025-12-29.1903550,bE,1.49,16.991,>16.991,99.990,-0.106,0.116,g
2461038.69084,2025-12-29.1912857,bE,1.5,17.051,>17.051,99.990,-0.251,0.110,g
2461038.75240,2025-12-29.2528440,bj,1.99,17.419,>17.419,99.990,0.041,0.078,g
2461038.75329,2025-12-29.2537320,bj,1.79,17.371,>17.371,99.990,-0.176,0.082,g
2461038.75419,2025-12-29.2546267,bj,1.67,17.172,>17.172,99.990,-0.033,0.098,g
2461039.32398,2025-12-29.8244295,bn,2.45,16.108,>16.108,99.990,0.157,0.262,g
2461039.38756,2025-12-29.8880120,bn,1.51,99.990,99.990,99.990,99.990,99.990,g
2461039.38880,2025-12-29.8892471,bn,1.48,16.605,>16.605,99.990,0.166,0.166,g
2461039.39002,2025-12-29.8904723,bn,1.41,16.652,>16.652,99.990,-0.365,0.159,g
2461039.51573,2025-12-30.0161807,bn,1.5,17.201,>17.201,99.990,-0.166,0.096,g
2461039.51697,2025-12-30.0174283,bn,1.58,99.990,99.990,99.990,99.990,99.990,g
2461039.51821,2025-12-30.0186584,bn,1.52,17.213,>17.213,99.990,0.125,0.095,g
2461039.53039,2025-12-30.0308418,bi,2.07,15.862,>15.862,99.990,0.617,0.328,g
2461039.53128,2025-12-30.0317217,bi,2.14,15.876,>15.876,99.990,1.147,0.324,g
2461039.53216,2025-12-30.0326142,bi,2.09,16.012,>16.012,99.990,-0.168,0.286,g
2461039.64437,2025-12-30.1448234,bF,2.13,99.990,99.990,99.990,99.990,99.990,g
2461039.64529,2025-12-30.1457373,bF,2.11,99.990,99.990,99.990,99.990,99.990,g
2461039.64619,2025-12-30.1466439,bF,2.1,99.990,99.990,99.990,99.990,99.990,g
2461039.65170,2025-12-30.1521525,bi,1.42,16.815,>16.815,99.990,-0.048,0.137,g
2461039.65260,2025-12-30.1530452,bi,1.44,16.828,>16.828,99.990,0.071,0.135,g
2461039.65349,2025-12-30.1539401,bi,1.42,16.731,>16.731,99.990,-0.089,0.147,g
2461039.72547,2025-12-30.2259158,bi,1.59,16.948,>16.948,99.990,-0.036,0.121,g
2461039.72635,2025-12-30.2268005,bi,1.58,16.960,>16.960,99.990,-0.088,0.119,g
2461039.72725,2025-12-30.2276981,bi,1.6,16.855,>16.855,99.990,-0.104,0.132,g
2461039.79537,2025-12-30.2958178,bE,1.44,17.341,>17.341,99.990,-0.040,0.084,g
2461039.79627,2025-12-30.2967218,bE,1.47,17.318,>17.318,99.990,-0.147,0.086,g
2461040.45332,2025-12-30.9537819,bm,1.49,15.963,>15.963,99.990,0.030,0.299,g
2461040.45455,2025-12-30.9550166,bm,1.47,15.969,>15.969,99.990,0.054,0.298,g
2461040.45579,2025-12-30.9562527,bm,1.44,15.956,>15.956,99.990,0.191,0.301,g
2461040.47970,2025-12-30.9801611,bn,1.59,16.366,>16.366,99.990,-0.509,0.206,g
2461040.48092,2025-12-30.9813877,bn,1.62,16.422,>16.422,99.990,0.006,0.196,g
2461040.48220,2025-12-30.9826540,bn,1.55,16.414,>16.414,99.990,0.269,0.197,g
2461040.64718,2025-12-31.1476421,bE,1.5,16.726,>16.726,99.990,-0.125,0.148,g
2461040.64808,2025-12-31.1485518,bE,1.51,16.685,>16.685,99.990,-0.124,0.154,g
2461040.64901,2025-12-31.1494673,bE,1.51,16.516,>16.516,99.990,-0.128,0.180,g
2461040.66208,2025-12-31.1625373,bj,1.62,16.489,>16.489,99.990,-0.081,0.184,g
2461040.66296,2025-12-31.1634207,bj,1.79,16.675,>16.675,99.990,-0.294,0.155,g
2461040.66384,2025-12-31.1643005,bj,1.69,16.666,>16.666,99.990,-0.366,0.156,g
2461040.74499,2025-12-31.2454554,bF,2.29,99.990,99.990,99.990,99.990,99.990,g
2461040.74589,2025-12-31.2463546,bF,2.28,99.990,99.990,99.990,99.990,99.990,g
2461040.74679,2025-12-31.2472609,bF,2.25,99.990,99.990,99.990,99.990,99.990,g
2461041.53609,2026-01-01.0365665,bi,1.57,16.081,>16.081,99.990,0.052,0.268,g
2461041.53698,2026-01-01.0374523,bi,1.57,16.177,>16.177,99.990,0.265,0.246,g
2461041.53787,2026-01-01.0383471,bi,2.14,16.144,>16.144,99.990,-0.199,0.253,g
2461041.68477,2026-01-01.1852459,bi,1.41,16.419,>16.419,99.990,0.032,0.197,g
2461041.68567,2026-01-01.1861405,bi,1.44,16.465,>16.465,99.990,-0.092,0.188,g
2461041.68652,2026-01-01.1870019,bi,1.5,16.271,>16.271,99.990,0.157,0.225,g
