HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2461036.78133,2025-12-27.2811027,bF,2.3,99.990,99.990,99.990,99.990,99.990,g
2461036.78224,2025-12-27.2820042,bF,2.28,99.990,99.990,99.990,99.990,99.990,g
2461036.78315,2025-12-27.2829130,bF,2.29,99.990,99.990,99.990,99.990,99.990,g
2461037.70528,2025-12-28.2050524,bj,1.69,16.564,>16.564,99.990,0.514,0.172,g
2461037.70615,2025-12-28.2059210,bj,1.72,16.647,>16.647,99.990,0.307,0.159,g
2461037.70703,2025-12-28.2068041,bj,1.72,16.804,>16.804,99.990,0.453,0.138,g
2461037.85988,2025-12-28.3596513,bj,2.08,16.226,>16.226,99.990,0.397,0.235,g
2461037.86077,2025-12-28.3605388,bj,2.08,99.990,99.990,99.990,99.990,99.990,g
2461037.86167,2025-12-28.3614483,bj,2.04,16.113,>16.113,99.990,0.203,0.261,g
2461038.53356,2025-12-29.0333283,bj,2.15,15.936,>15.936,99.990,0.607,0.307,g
2461038.53445,2025-12-29.0342224,bj,2.14,16.057,>16.057,99.990,-0.198,0.274,g
2461038.53533,2025-12-29.0350998,bj,2.43,99.990,99.990,99.990,99.990,99.990,g
2461038.68688,2025-12-29.1866619,bF,2.18,99.990,99.990,99.990,99.990,99.990,g
2461038.68781,2025-12-29.1875843,bF,2.17,99.990,99.990,99.990,99.990,99.990,g
2461038.68872,2025-12-29.1884965,bF,2.19,99.990,99.990,99.990,99.990,99.990,g
2461038.77379,2025-12-29.2735651,bF,2.23,17.061,>17.061,99.990,-0.146,0.109,g
2461038.77470,2025-12-29.2744711,bF,2.25,17.112,>17.112,99.990,0.226,0.104,g
2461038.77561,2025-12-29.2753879,bF,2.23,17.036,>17.036,99.990,0.212,0.111,g
2461039.51888,2025-12-30.0186578,bo,1.51,16.992,>16.992,99.990,0.222,0.116,g
2461039.67284,2025-12-30.1726224,bF,2.02,16.899,>16.899,99.990,0.321,0.126,g
2461039.67375,2025-12-30.1735319,bF,2.04,16.757,>16.757,99.990,0.193,0.144,g
2461039.67464,2025-12-30.1744215,bF,2.02,16.649,>16.649,99.990,0.275,0.159,g
2461039.77078,2025-12-30.2705608,bF,2.24,99.990,99.990,99.990,99.990,99.990,g
2461039.77167,2025-12-30.2714579,bF,2.29,99.990,99.990,99.990,99.990,99.990,g
