# ASAS-SN SkyPatrol ID: 661427536081
# AAVSO International Variable Star Index: MASTER OT J010603.18-744715.8


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456788.9236527,0.2207,0.1798,16.5755,99.9990,16.5755,2.57,V,B,be
2456789.9203943,0.3704,0.0770,17.4963,99.9990,17.4963,3.13,V,G,be
2456792.9148722,-0.2606,0.2497,16.2187,99.9990,16.2187,1.57,V,G,be
2456808.8807662,0.3575,0.0678,17.5767,0.2061,17.6347,3.21,V,G,be
2456809.8785884,0.2694,0.0758,17.5134,99.9990,17.5134,1.75,V,G,be
2456810.8902215,0.2178,0.0724,17.5631,99.9990,17.5631,1.99,V,G,be
2456811.8739675,0.4195,0.0733,17.4031,0.1900,17.5490,2.28,V,G,be
2456814.8859624,0.3363,0.0599,17.6431,0.1935,17.7695,3.27,V,G,be
2456817.8922964,0.5008,0.0602,17.2106,0.1307,17.7632,1.76,V,G,be
2456818.8680023,0.0136,0.1054,17.1552,99.9990,17.1552,1.65,V,B,be
2456826.8504711,0.1110,0.0991,17.2217,99.9990,17.2217,1.49,V,B,be
2456828.8502351,0.2868,0.0817,17.4317,99.9990,17.4317,1.45,V,G,be
2456829.8474688,0.1525,0.0645,17.6882,99.9990,17.6882,1.59,V,G,be
2456830.8480609,0.3525,0.0694,17.5919,0.2141,17.6084,1.76,V,B,be
2456832.843862,0.3817,0.0802,17.4519,99.9990,17.4519,1.68,V,G,be
2456833.8626803,0.3183,0.0686,17.6214,99.9990,17.6214,1.59,V,G,be
2456836.8356101,0.4205,0.0639,17.4003,0.1651,17.6988,1.72,V,G,be
2456838.855481,0.1682,0.0582,17.8001,99.9990,17.8001,1.80,V,G,be
2456840.866626,0.4602,0.0604,17.3023,0.1426,17.7602,1.53,V,G,be
2456845.8447821,0.3840,0.0569,17.4990,0.1611,17.8241,1.73,V,G,be
2456847.8182908,0.2433,0.0835,17.4076,99.9990,17.4076,1.46,V,G,be
2456849.836222,0.3680,0.1443,16.8139,99.9990,16.8139,1.51,V,B,be
2456855.827622,0.1685,0.0851,17.3874,99.9990,17.3874,1.49,V,G,be
2456856.8248023,0.3102,0.0753,17.5203,99.9990,17.5203,1.45,V,G,be
2456857.8259367,0.2522,0.0570,17.8226,99.9990,17.8226,1.75,V,G,be
2456859.8277613,0.3151,0.0498,17.7137,0.1719,17.9685,1.53,V,G,be
2456866.784259,0.3381,0.0673,17.6372,0.2163,17.6428,1.79,V,G,be
2456871.7819947,0.3803,0.0733,17.5095,0.2094,17.5500,1.65,V,B,be
2456874.7706967,0.4050,0.0602,17.4412,0.1616,17.7631,1.47,V,G,be
2456876.765272,0.0355,0.0960,17.2571,99.9990,17.2571,1.69,V,G,be
2456878.7658787,0.3902,0.0948,17.2706,99.9990,17.2706,1.52,V,G,be
2456880.7860052,0.3031,0.1552,16.7350,99.9990,16.7350,1.51,V,B,be
