HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457038.53649,2015-01-16.0383141,be,2.14,16.439,>16.439,99.990,0.227,0.204,V
2457038.53793,2015-01-16.0397521,be,2.11,16.547,>16.547,99.990,0.061,0.185,V
2457040.53219,2015-01-18.0340310,be,2.22,16.052,>16.052,99.990,0.218,0.291,V
2457040.53362,2015-01-18.0354596,be,2.20,16.157,>16.157,99.990,0.410,0.264,V
2457042.52958,2015-01-20.0314396,be,1.86,15.871,>15.871,99.990,0.425,0.344,V
2457042.53102,2015-01-20.0328804,be,1.87,15.996,>15.996,99.990,0.384,0.307,V
2457042.56596,2015-01-20.0678140,be,1.59,16.779,>16.779,99.990,0.426,0.149,V
2457044.52673,2015-01-22.0286,be,2.09,15.584,>15.584,99.990,-0.449,0.448,V
2457044.52817,2015-01-22.0300371,be,2.08,15.761,>15.761,99.990,0.837,0.381,V
2457047.55921,2015-01-25.0610966,be,2.17,16.633,>16.633,99.990,-0.127,0.170,V
2457048.53986,2015-01-26.0417476,be,1.82,16.270,>16.270,99.990,-0.010,0.238,V
2457048.54128,2015-01-26.0431626,be,1.88,16.440,>16.440,99.990,0.505,0.204,V
2457050.54708,2015-01-28.0489677,be,1.77,16.235,>16.235,99.990,0.216,0.246,V
2457050.54852,2015-01-28.0504089,be,1.75,16.279,>16.279,99.990,0.547,0.236,V
2457053.56073,2015-01-31.0626254,be,1.79,16.144,>16.144,99.990,0.439,0.268,V
2457056.53486,2015-02-03.0367425,be,1.63,15.839,>15.839,99.990,-0.024,0.354,V
2457057.55559,2015-02-04.0574709,be,1.49,15.744,>15.744,99.990,1.397,0.387,V
2457057.55701,2015-02-04.0588873,be,1.47,15.926,>15.926,99.990,0.794,0.327,V
2457060.55208,2015-02-07.0539488,be,1.43,16.514,>16.514,99.990,0.311,0.190,V
2457060.55350,2015-02-07.0553648,be,1.44,16.441,>16.441,99.990,-0.448,0.204,V
2457062.55663,2015-02-09.0584804,be,1.51,16.630,>16.630,99.990,0.042,0.171,V
2457066.55391,2015-02-13.0557258,be,1.44,16.495,>16.495,99.990,0.586,0.194,V
2457067.53812,2015-02-14.0399199,be,1.54,16.661,>16.661,99.990,-0.072,0.166,V
2457070.54322,2015-02-17.0449932,be,1.60,16.657,>16.657,99.990,0.140,0.167,V
