HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459155.74379,2020-11-02.2437225,bH,1.52,15.259,11.489,0.008,92.118,0.687,g
2459155.74508,2020-11-02.2450087,bH,1.51,15.209,11.474,0.008,93.410,0.691,g
2459155.74639,2020-11-02.2463173,bH,1.50,15.228,11.492,0.008,91.872,0.660,g
2459156.72767,2020-11-03.2276505,bl,1.54,15.297,11.767,0.009,71.376,0.617,g
2459156.72889,2020-11-03.2288699,bl,1.56,15.351,11.751,0.009,72.373,0.578,g
2459156.73013,2020-11-03.2301094,bl,1.52,15.345,11.759,0.009,71.845,0.566,g
2459157.58618,2020-11-04.0861930,bl,1.43,15.448,12.030,0.009,55.970,0.504,g
2459157.58739,2020-11-04.0874065,bl,1.39,15.463,12.030,0.010,55.947,0.500,g
2459157.58861,2020-11-04.0886292,bl,1.48,15.462,12.034,0.009,55.805,0.498,g
2459157.77490,2020-11-04.2749188,bH,1.41,15.461,12.115,0.011,51.775,0.508,g
2459157.77619,2020-11-04.2762138,bH,1.41,15.422,12.110,0.011,52.030,0.525,g
2459157.77748,2020-11-04.2775015,bH,1.44,15.418,12.129,0.012,51.085,0.528,g
2459158.59967,2020-11-05.0997217,bH,1.47,15.612,12.215,0.010,47.210,0.436,g
2459158.60095,2020-11-05.1010081,bH,1.43,15.649,12.225,0.010,46.761,0.435,g
2459158.60223,2020-11-05.1022854,bH,1.43,15.701,12.226,0.010,46.743,0.407,g
2459158.77154,2020-11-05.2716030,bH,1.36,15.448,12.275,0.013,44.677,0.509,g
2459158.77285,2020-11-05.2729157,bH,1.39,15.540,12.271,0.011,44.823,0.462,g
2459158.77414,2020-11-05.2742024,bH,1.36,15.502,12.271,0.012,44.852,0.492,g
2459159.58725,2020-11-06.0873472,bl,1.54,99.990,99.990,99.990,99.990,99.990,g
2459159.58848,2020-11-06.0885760,bl,1.52,99.990,99.990,99.990,99.990,99.990,g
2459159.58971,2020-11-06.0898048,bl,1.47,99.990,99.990,99.990,99.990,99.990,g
2459159.76971,2020-11-06.2698090,bl,1.53,15.537,12.128,0.010,51.140,0.467,g
2459159.77094,2020-11-06.2710402,bl,1.48,15.465,12.128,0.010,51.130,0.490,g
2459159.77217,2020-11-06.2722751,bl,1.46,15.469,12.139,0.011,50.628,0.499,g
2459163.26176,2020-11-09.7620120,bp,2.18,99.990,99.990,99.990,99.990,99.990,g
2459163.26301,2020-11-09.7632586,bp,2.13,15.734,12.618,0.012,32.576,0.383,g
2459163.54679,2020-11-10.0470519,bp,1.49,15.674,12.680,0.014,30.764,0.400,g
2459163.54800,2020-11-10.0482704,bp,1.51,15.562,12.639,0.015,31.926,0.443,g
2459164.27221,2020-11-10.7725076,bp,1.61,15.787,12.659,0.012,31.383,0.364,g
2459164.27342,2020-11-10.7737293,bp,1.48,15.740,12.671,0.013,31.016,0.380,g
2459164.27467,2020-11-10.7749793,bp,1.51,15.784,12.626,0.013,32.311,0.371,g
2459164.29851,2020-11-10.7988090,bp,1.58,15.761,12.631,0.013,32.200,0.376,g
2459164.29977,2020-11-10.8000765,bp,1.55,15.790,12.656,0.012,31.448,0.362,g
2459164.30105,2020-11-10.8013520,bp,1.62,15.875,12.627,0.011,32.317,0.339,g
2459164.31286,2020-11-10.8131587,bp,1.53,15.692,12.646,0.013,31.753,0.396,g
2459164.31410,2020-11-10.8144018,bp,1.59,15.771,12.643,0.012,31.842,0.365,g
2459164.31531,2020-11-10.8156155,bp,1.49,15.777,12.654,0.012,31.517,0.367,g
2459164.43120,2020-11-10.9315063,bp,1.64,15.740,12.737,0.014,29.208,0.380,g
2459164.43242,2020-11-10.9327259,bp,1.62,15.757,12.719,0.013,29.688,0.371,g
2459164.43362,2020-11-10.9339337,bp,1.57,15.758,12.727,0.013,29.464,0.371,g
2459165.25444,2020-11-11.7547861,bp,2.40,15.378,12.687,0.019,30.559,0.536,g
2459165.25566,2020-11-11.7559972,bp,2.44,15.534,12.682,0.017,30.692,0.464,g
2459165.25686,2020-11-11.7572094,bp,2.39,15.458,12.703,0.018,30.129,0.496,g
2459165.30194,2020-11-11.8022898,bp,1.50,15.744,12.675,0.013,30.902,0.376,g
2459165.30323,2020-11-11.8035728,bp,1.52,15.797,12.665,0.013,31.198,0.365,g
2459165.30445,2020-11-11.8047884,bp,1.53,15.775,12.675,0.013,30.918,0.369,g
2459165.33487,2020-11-11.8352215,bp,1.61,15.744,12.652,0.013,31.552,0.376,g
2459165.33609,2020-11-11.8364386,bp,1.68,15.735,12.655,0.013,31.484,0.381,g
2459165.33736,2020-11-11.8377133,bp,1.57,15.763,12.679,0.013,30.776,0.370,g
2459165.55277,2020-11-12.0531319,bH,1.37,15.829,12.763,0.014,28.504,0.352,g
2459165.55406,2020-11-12.0544119,bH,1.41,15.756,12.765,0.015,28.467,0.375,g
2459165.55535,2020-11-12.0557001,bH,1.39,15.820,12.736,0.014,29.209,0.356,g
2459166.56808,2020-11-13.0684800,bH,1.41,15.838,12.869,0.015,25.862,0.351,g
2459166.56937,2020-11-13.0697625,bH,1.41,15.870,12.859,0.014,26.067,0.335,g
2459166.57064,2020-11-13.0710456,bH,1.41,15.846,12.872,0.014,25.774,0.343,g
2459166.60665,2020-11-13.1070531,bH,1.46,15.779,12.850,0.015,26.282,0.366,g
2459166.60794,2020-11-13.1083505,bH,1.43,15.815,12.856,0.014,26.164,0.352,g
2459166.60924,2020-11-13.1096503,bH,1.43,15.755,12.857,0.015,26.132,0.372,g
2459166.75062,2020-11-13.2510385,bH,1.37,15.780,12.853,0.016,26.246,0.368,g
2459166.75193,2020-11-13.2523474,bH,1.35,15.737,12.844,0.016,26.455,0.385,g
2459166.75322,2020-11-13.2536287,bH,1.38,15.808,12.855,0.015,26.174,0.364,g
2459167.34021,2020-11-13.8406372,bp,1.59,15.824,12.959,0.016,23.808,0.346,g
2459167.34152,2020-11-13.8419528,bp,1.64,15.811,12.932,0.015,24.400,0.352,g
2459167.34285,2020-11-13.8432825,bp,1.57,15.845,12.962,0.015,23.731,0.341,g
2459167.36715,2020-11-13.8675815,bp,1.52,99.990,99.990,99.990,99.990,99.990,g
2459167.36837,2020-11-13.8687984,bp,1.53,99.990,99.990,99.990,99.990,99.990,g
2459167.36958,2020-11-13.8700157,bp,1.55,99.990,99.990,99.990,99.990,99.990,g
2459167.57710,2020-11-14.0775423,bH,1.46,15.893,12.977,0.016,23.396,0.331,g
2459167.57839,2020-11-14.0788373,bH,1.45,15.772,12.965,0.017,23.662,0.372,g
2459167.57969,2020-11-14.0801306,bH,1.47,15.778,12.956,0.017,23.862,0.366,g
2459168.73872,2020-11-15.2392232,bl,1.45,99.990,99.990,99.990,99.990,99.990,g
2459168.73996,2020-11-15.2404532,bl,1.51,15.782,13.026,0.017,22.385,0.360,g
2459168.74119,2020-11-15.2416832,bl,1.52,99.990,99.990,99.990,99.990,99.990,g
2459169.67335,2020-11-16.1738745,bH,1.36,15.793,13.012,0.017,22.652,0.359,g
2459169.67463,2020-11-16.1751543,bH,1.40,15.923,13.037,0.016,22.138,0.322,g
2459169.67592,2020-11-16.1764471,bH,1.39,15.807,13.053,0.017,21.819,0.353,g
2459169.68387,2020-11-16.1843973,bl,1.47,15.882,13.046,0.016,21.959,0.329,g
2459169.68510,2020-11-16.1856309,bl,1.58,15.864,13.054,0.016,21.798,0.335,g
2459169.68633,2020-11-16.1868552,bl,1.54,99.990,99.990,99.990,99.990,99.990,g
2459170.25833,2020-11-16.7588847,bp,1.54,14.304,13.169,0.077,19.622,1.382,g
2459170.25955,2020-11-16.7600993,bp,1.67,99.990,99.990,99.990,99.990,99.990,g
2459170.26077,2020-11-16.7613173,bp,1.63,99.990,99.990,99.990,99.990,99.990,g
2459170.73611,2020-11-17.2366813,bH,1.45,15.874,13.294,0.020,17.485,0.330,g
2459171.28541,2020-11-17.7860065,bp,1.45,99.990,99.990,99.990,99.990,99.990,g
2459171.28661,2020-11-17.7872130,bp,1.44,99.990,99.990,99.990,99.990,99.990,g
2459171.28784,2020-11-17.7884417,bp,1.51,99.990,99.990,99.990,99.990,99.990,g
2459171.56780,2020-11-18.0684106,bH,1.47,15.844,13.219,0.020,18.716,0.344,g
2459171.56909,2020-11-18.0697009,bH,1.44,15.890,13.224,0.019,18.645,0.326,g
2459171.57040,2020-11-18.0710119,bH,1.44,15.891,13.220,0.019,18.698,0.328,g
2459172.58120,2020-11-19.0818572,bl,1.52,15.842,13.006,0.016,22.791,0.337,g
2459172.58243,2020-11-19.0830810,bl,1.54,15.849,12.992,0.016,23.085,0.338,g
2459172.58364,2020-11-19.0843004,bl,1.43,15.847,13.024,0.016,22.405,0.338,g
2459173.52543,2020-11-20.0261201,bl,1.49,15.827,13.321,0.022,17.061,0.343,g
2459173.52666,2020-11-20.0273488,bl,1.52,15.834,13.350,0.022,16.589,0.340,g
2459173.52787,2020-11-20.0285667,bl,1.46,15.833,13.315,0.022,17.142,0.339,g
2459173.59128,2020-11-20.0919762,bH,1.46,15.792,13.316,0.022,17.121,0.356,g
2459173.59257,2020-11-20.0932658,bH,1.40,15.866,13.308,0.021,17.247,0.332,g
2459173.59386,2020-11-20.0945545,bH,1.42,15.903,13.324,0.020,16.989,0.324,g
2459173.67816,2020-11-20.1788637,bH,1.48,15.952,13.311,0.019,17.199,0.307,g
