Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	rel_flux_SNR_T1	rel_flux_SNR_C2	tot_C_cnts	tot_C_err	RA_T1	DEC_T1	Source-Sky_T1	Source_Error_T1	Source_AMag_T1	Source_AMag_Err_T1	Peak_T1	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_AMag_C2	Source_AMag_Err_C2	Peak_C2
W Ursae Majoris_60sec_2x2__0001_Processed_I.fits	65220	61149.62809027778	2461149.628090278	2461149.6277430556	2461149.62872776	2461149.6295157196	1.0809507260538933	67.65233847745029	-5	NaN	9.7292975	55.95251944444445	1.7930849989688913	0	0.0006833431940117	0	2623.9889629136537	0	14040488.366942387	4429.719826259081	9.729311846695612	55.952453209933665	25175789.06896162	5381.896034147984	11.06599780689739	0.0004136943356349	59264	9.708087160031088	56.1872643526812	14040488.366942387	4429.719826259081	11.7	0.0003424915526939	65220
W Ursae Majoris_60sec_2x2__0002_Processed_I.fits	65160	61149.628854166716	2461149.6288541667	2461149.6285069445	2461149.6294915914	2461149.630279551	1.081184503618402	67.62212685883296	-5	NaN	9.7292975	55.95251944444445	1.782752533681167	0	0.0006792435438769	0	2624.614616880812	0	14081718.770992905	4436.335616140963	9.7293121629009	55.952452306096916	25104219.81757325	5379.322502172502	11.072272344130647	0.0004135957382226	59264	9.708086541672646	56.18727443687217	14081718.770992905	4436.335616140963	11.7	0.0003419988498712	65160
W Ursae Majoris_60sec_2x2__0003_Processed_I.fits	65220	61149.62961805565	2461149.6296180557	2461149.6292708335	2461149.6302554226	2461149.631043382	1.0814309333813872	67.59033610720547	-4.9	NaN	9.7292975	55.95251944444445	1.7865551076829242	0	0.0006779424364117	0	2635.2607710160505	0	14152707.28724517	4441.9235075712995	9.729311914088855	55.95244827984685	25284591.4915692	5392.8360901678025	11.069958957758967	0.00041192517535	59264	9.708086071027276	56.18727420411589	14152707.28724517	4441.9235075712995	11.7	0.0003407122329181	65220
W Ursae Majoris_60sec_2x2__0004_Processed_I.fits	65220	61149.63038194459	2461149.6303819446	2461149.6300347224	2461149.6310192537	2461149.631807213	1.0816900268523058	67.55697331438903	-4.9	NaN	9.7292975	55.95251944444445	1.808421072219686	0	0.0006866248911317	0	2633.7831552233947	0	14093038.034762297	4436.79572077796	9.72931178953287	55.952438706764084	25486146.95365765	5409.168800769522	11.05675110272379	0.0004121562314376	59264	9.708085606175196	56.187281368388504	14093038.034762297	4436.79572077796	11.7	0.0003417596416189	65220
W Ursae Majoris_60sec_2x2__0005_Processed_I.fits	65220	61149.63113425905	2461149.631134259	2461149.630787037	2461149.6317715114	2461149.632559471	1.081957583637691	67.52258673885628	-4.9	NaN	9.7292975	55.95251944444445	1.8210222303158754	0	0.0006974634233147	0	2610.9214755110147	0	13885586.836243825	4416.86698768481	9.729313734053072	55.952440134751136	25285962.30978149	5394.434607461748	11.049211881195586	0.0004157644517392	59264	9.70808622330219	56.1872718698499	13885586.836243825	4416.86698768481	11.7	0.0003453069653902	65220
W Ursae Majoris_60sec_2x2__0006_Processed_I.fits	65220	61149.631886573974	2461149.631886574	2461149.631539352	2461149.6325237695	2461149.633311729	1.0822374473219913	67.48668990848557	-4.9	NaN	9.7292975	55.95251944444445	1.81019770828308	0	0.0006855967221367	0	2640.3243332926304	0	14144228.254220506	4442.090725943517	9.729312242299551	55.95243809222578	25603849.57122275	5420.120932817498	11.055684973148555	0.0004111353428714	59264	9.708087246513761	56.187276598030586	14144228.254220506	4442.090725943517	11.7	0.0003409292793879	65220
W Ursae Majoris_60sec_2x2__0007_Processed_I.fits	65220	61149.63265046291	2461149.632650463	2461149.6323032407	2461149.633287601	2461149.6340755606	1.0825342218259069	67.44870340606161	-5	NaN	9.7292975	55.95251944444445	1.8438377240157284	0	0.0007007206485394	0	2631.3449273389233	0	13974131.950716626	4419.773251634273	9.729313833049105	55.95243469876868	25766031.651104815	5428.693882337429	11.035693259542331	0.0004125380665639	59264	9.70808643939862	56.18728092307973	13974131.950716626	4419.773251634273	11.7	0.0003433450563787	65220
W Ursae Majoris_60sec_2x2__0008_Processed_I.fits	65220	61149.633402777836	2461149.633402778	2461149.6330555556	2461149.6340398593	2461149.6348278187	1.0828389274624446	67.40978633346906	-4.9	NaN	9.7292975	55.95251944444445	1.8316545594618228	0	0.0006924711433481	0	2645.0987554596672	0	14131442.432187581	4440.3578071909205	9.72931191299369	55.95244494106707	25883920.962688655	5441.444089349051	11.04289107157413	0.0004103933808725	59264	9.70808720074986	56.18727698106387	14131442.432187581	4440.3578071909205	11.7	0.0003411045958617	65220
W Ursae Majoris_60sec_2x2__0009_Processed_I.fits	65220	61149.63416666677	2461149.634166667	2461149.6338194446	2461149.6348036905	2461149.63559165	1.083160954032797	67.36874968757033	-4.9	NaN	9.7292975	55.95251944444445	1.8378360877483708	0	0.0006910861416866	0	2659.3444389770193	0	14216448.267562263	4444.731793873338	9.729312136476262	55.95244052611015	26127501.665733732	5458.849180857187	11.039233062299644	0.00040819538227	59264	9.708086142718852	56.18727779893646	14216448.267562263	4444.731793873338	11.7	0.0003393992583941	65220
W Ursae Majoris_60sec_2x2__0010_Processed_I.fits	65220	61149.63491898123	2461149.634918981	2461149.634571759	2461149.635555948	2461149.6363439076	1.0834905575872809	67.32684554986574	-4.9	NaN	9.7292975	55.95251944444445	1.838276229497709	0	0.0006850267953997	0	2683.50996171641	0	14403683.860116273	4461.796014283793	9.729310538168194	55.952432526939056	26477949.65725155	5484.7857481249075	11.038973071421495	0.0004045201891215	59264	9.708086000501599	56.1872641979617	14403683.860116273	4461.796014283793	11.7	0.000336273925746	65220
